Country,Rank,population_total,manpower_available,manpower_fit_for_service,manpower_reaching_age_annually,manpower_active,manpower_reserve_active,manpower_paramilitary,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports,labor_force,major_ports_and_terminals,railway,roadway,oil_production,oil_consumption,proven_oil_reserves,natural_gas_production,natural_gas_consumption,proven_natural_gas_reserves,coal_production,coal_consumption,proven_coal_reserves,square_land_area,coastline,border,waterway
United States,1,341963408.0,150463900.0,124816644.0,4445524.0,1333030.0,799500.0,0.0,13032.0,1791.0,926.0,917.0,2610.0,611.0,610.0,5913.0,1024.0,4666.0,409660.0,1521.0,1878.0,1731.0,465.0,11.0,9.0,66.0,83.0,0.0,27.0,0.0,4.0,831500000000.0,24538900710000.0,25676000000000.0,910037000000.0,16116.0,174174000.0,666.0,293564.0,6586610.0,20953000.0,20307000.0,38212000000.0,1029000000000.0,914301000000.0,13402000000000.0,534234000.0,495156000.0,247883000000.0,9833517.0,19924.0,12002.0,41009.0
Russia,2,140820810.0,69002197.0,46189226.0,1267387.0,1320000.0,2000000.0,250000.0,4237.0,861.0,698.0,458.0,530.0,137.0,18.0,1643.0,556.0,5630.0,126512.0,3603.0,5920.0,2486.0,747.0,1.0,0.0,66.0,13.0,12.0,79.0,70.0,45.0,212638272000.0,226475750000.0,6089000000000.0,597217000000.0,905.0,72517000.0,67.0,85494.0,1283387.0,10879000.0,3863000.0,80000000000.0,617830000000.0,472239000000.0,47805000000000.0,531130000.0,290763000.0,162166000000.0,17098242.0,37653.0,22407.0,102000.0
China,3,1415043270.0,764123366.0,626864169.0,19810606.0,2035000.0,510000.0,625000.0,3529.0,1443.0,371.0,287.0,401.0,105.0,9.0,1007.0,281.0,5870.0,152040.0,2940.0,1400.0,2770.0,841.0,3.0,4.0,61.0,53.0,46.0,50.0,150.0,36.0,303000000000.0,488114000000.0,33598000000000.0,3456000000000.0,552.0,773880000.0,66.0,150000.0,5200000.0,4984000.0,16189000.0,26023000000.0,225341000000.0,366160000000.0,6654000000000.0,4805000000.0,5191000000.0,157041000000.0,9596960.0,14500.0,22457.0,27700.0
India,4,1409128296.0,662290299.0,522786598.0,23955181.0,1431000.0,1000000.0,2527000.0,2183.0,476.0,124.0,277.0,334.0,72.0,6.0,594.0,79.0,3913.0,163554.0,100.0,5640.0,300.0,343.0,2.0,0.0,18.0,13.0,18.0,21.0,146.0,0.0,109000000000.0,212728000000.0,14244000000000.0,643043000000.0,315.0,607691000.0,56.0,65554.0,6371847.0,822000.0,5271000.0,4605000000.0,33170000000.0,58867000000.0,1381000000000.0,1020000000.0,1262000000.0,127727000000.0,3287263.0,7000.0,13888.0,14500.0
South Korea,5,52081799.0,26040900.0,21353538.0,416654.0,450000.0,3100000.0,120000.0,1540.0,242.0,98.0,40.0,335.0,35.0,4.0,827.0,113.0,1831.0,117460.0,2780.0,5800.0,525.0,215.0,0.0,2.0,22.0,14.0,18.0,3.0,96.0,14.0,44800000000.0,553871450000.0,2607000000000.0,418219000000.0,92.0,29713000.0,15.0,3979.0,100428.0,38000.0,2542000.0,0.0,55127000.0,59480000000.0,7079000000.0,16081000.0,136817000.0,326000000.0,99720.0,2413.0,237.0,1600.0
France,6,68374591.0,30084820.0,23794358.0,752121.0,264000.0,43444.0,150000.0,974.0,223.0,0.0,118.0,140.0,44.0,15.0,452.0,67.0,427.0,110784.0,74.0,0.0,9.0,166.0,1.0,3.0,9.0,11.0,5.0,0.0,22.0,19.0,67232395000.0,7691315390000.0,3732000000000.0,282857000000.0,1218.0,31725000.0,66.0,27860.0,1053215.0,80000.0,1536000.0,61719000.0,20132000.0,37001000000.0,7787000000.0,2157000.0,12570000.0,160000000.0,643801.0,4853.0,4072.0,8501.0
Japan,7,123201945.0,52976836.0,42874277.0,1108818.0,251500.0,56000.0,25000.0,1429.0,217.0,47.0,53.0,399.0,135.0,10.0,583.0,118.0,734.0,54390.0,193.0,480.0,99.0,158.0,0.0,4.0,23.0,41.0,8.0,0.0,6.0,18.0,58000000000.0,5147667910000.0,5715000000000.0,1231000000000.0,280.0,69382000.0,163.0,27311.0,1218772.0,8000.0,3140000.0,44115000.0,2220000000.0,92843000000.0,20898000000.0,27657000.0,197612000.0,350000000.0,377915.0,29751.0,0.0,1770.0
United Kingdom,8,68459055.0,31491165.0,25192932.0,753050.0,141330.0,31940.0,0.0,625.0,103.0,38.0,30.0,201.0,29.0,9.0,262.0,50.0,288.0,94064.0,14.0,126.0,43.0,116.0,2.0,0.0,10.0,6.0,7.0,0.0,26.0,8.0,88526529585.0,10553123900000.0,3636000000000.0,174598000000.0,1057.0,35359000.0,185.0,16390.0,416461.0,753000.0,1406000.0,2500000000.0,37758000000.0,70141000000.0,180661000000.0,1568000.0,7372000.0,26000000.0,243610.0,12429.0,499.0,3200.0
Turkiye,9,84119531.0,42985080.0,36087279.0,1430032.0,481000.0,380000.0,150000.0,1101.0,201.0,0.0,84.0,301.0,27.0,7.0,509.0,111.0,2284.0,98193.0,1045.0,635.0,237.0,192.0,0.0,1.0,14.0,0.0,17.0,9.0,40.0,11.0,51400000000.0,149654000000.0,3018000000000.0,154744000000.0,116.0,36081000.0,54.0,11497.0,68526.0,83000.0,1107000.0,366000000.0,379701000.0,52887000000.0,3794000000.0,82534000.0,124183000.0,10975000000.0,783562.0,7200.0,2816.0,1200.0
Italy,10,60964931.0,27434219.0,22191235.0,548684.0,165500.0,18300.0,105000.0,714.0,88.0,65.0,31.0,152.0,22.0,8.0,352.0,37.0,203.0,87364.0,64.0,108.0,21.0,285.0,2.0,0.0,8.0,3.0,14.0,0.0,15.0,10.0,37325165000.0,3025000000000.0,3133000000000.0,290547000000.0,655.0,25828000.0,123.0,18475.0,228863.0,111000.0,1245000.0,497934000.0,3117000000.0,68735000000.0,45750000000.0,1572000.0,12424000.0,609999000.0,301340.0,7600.0,1836.0,2400.0
Brazil,11,220051512.0,112226271.0,88680759.0,3520824.0,376000.0,1340000.0,200000.0,495.0,44.0,30.0,107.0,124.0,25.0,0.0,186.0,0.0,294.0,22464.0,149.0,412.0,82.0,69.0,0.0,1.0,6.0,0.0,8.0,2.0,22.0,4.0,26400000000.0,198582000000.0,4165000000000.0,329732000000.0,5297.0,106790000.0,45.0,29850.0,2000000.0,4221000.0,3163000.0,12715000000.0,22670000000.0,31654000000.0,363985000000.0,15556000.0,32223000.0,6596000000.0,8515770.0,7491.0,16145.0,50000.0
Germany,12,84119100.0,38694786.0,30955829.0,841191.0,184324.0,860000.0,0.0,569.0,127.0,63.0,55.0,16.0,27.0,3.0,292.0,49.0,296.0,87338.0,134.0,0.0,33.0,96.0,0.0,0.0,6.0,0.0,11.0,6.0,54.0,12.0,127400090000.0,6862470230000.0,5247000000000.0,377936000000.0,840.0,43772000.0,35.0,39379.0,830000.0,131000.0,2062000.0,115200000.0,4824000000.0,77516000000.0,23390000000.0,109741000.0,140994000.0,35400000000.0,357022.0,2389.0,3694.0,7300.0
Indonesia,13,281562465.0,137965608.0,114595923.0,4786562.0,404500.0,401000.0,250000.0,460.0,41.0,34.0,73.0,114.0,15.0,1.0,212.0,15.0,331.0,28064.0,153.0,396.0,67.0,338.0,0.0,0.0,4.0,0.0,10.0,26.0,211.0,10.0,11155297716.0,225273000000.0,4102000000000.0,155708000000.0,556.0,143144000.0,123.0,8159.0,496607.0,865000.0,1645000.0,2480000000.0,57410000000.0,36061000000.0,1408000000000.0,783453000.0,281159000.0,35055000000.0,1904569.0,54716.0,2958.0,21579.0
Pakistan,14,252363571.0,108516336.0,85803614.0,4794908.0,660000.0,550000.0,500000.0,1397.0,331.0,90.0,63.0,563.0,27.0,4.0,379.0,55.0,2677.0,59044.0,662.0,2629.0,652.0,120.0,0.0,0.0,8.0,0.0,9.0,6.0,79.0,3.0,9102115350.0,89148000000.0,1390000000000.0,18408000000.0,117.0,83644000.0,3.0,11881.0,264175.0,91000.0,645000.0,540000000.0,36937000000.0,46448000000.0,592219000000.0,13765000.0,30191000.0,2857000000.0,796095.0,1046.0,7257.0,0.0
Israel,15,9402617.0,3949099.0,3281513.0,131637.0,169500.0,465000.0,35000.0,597.0,239.0,45.0,14.0,148.0,19.0,13.0,127.0,48.0,1300.0,62380.0,323.0,171.0,228.0,82.0,0.0,0.0,6.0,0.0,0.0,7.0,66.0,0.0,34600000000.0,163350000000.0,472177000000.0,214544000000.0,40.0,4710000.0,5.0,1497.0,20391.0,15000.0,219000.0,12730000.0,22886000000.0,11510000000.0,176018000000.0,0.0,5297000.0,0.0,21937.0,273.0,1068.0,0.0
Iran,16,88386937.0,49496685.0,41541860.0,1414191.0,610000.0,350000.0,220000.0,551.0,188.0,21.0,86.0,103.0,10.0,6.0,129.0,13.0,2675.0,75939.0,424.0,1803.0,1550.0,109.0,0.0,0.0,25.0,0.0,7.0,3.0,21.0,1.0,9230000000.0,6759000000.0,1486000000000.0,120600000000.0,177.0,28575000.0,18.0,8484.0,223485.0,4112000.0,2415000.0,208600000000.0,263280000000.0,244890000000.0,33987000000000.0,2209000.0,3032000.0,1203000000.0,1648195.0,2440.0,5894.0,850.0
