Country,Rank,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,capital-cities-by-total-population,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage
United States,1,"341,963,408","150,463,900","124,816,644","4,445,524","1,328,000","799,500",0,,"13,043","1,790",889,918,"2,647",647,605,"5,843","1,002","4,640","391,963",671,"1,212",641,440,"4,168,037",11,9,70,81,0,26,0,8,"$                        							895,000,000,000","$                        							22,303,546,100,000","$                        							24,662,000,000,000","$                        							773,426,000,000","15,873","170,549,000",666,"293,564                        						
							km","6,586,610                        						
							km","20,879,000                        						
							bbl","20,245,000                        						
							bbl","38,212,000,000                        						
							bbl","1,029,000,000,000                        						
							Cu.M","914,301,000,000                        						
							Cu.M","13,402,000,000,000                        						
							Cu.M","548,849,000                        						
							Cu.M","476,044,000                        						
							mt","248,941,000,000                        						
							Cu.M","9,833,517                        						
							km","19,924                        						
							km","12,002                        						
							km","41,009                        						
							km"
Russia,2,"140,820,810","69,002,197","46,189,226","1,267,387","1,320,000","2,000,000","250,000",,"4,292",833,689,456,611,141,19,"1,651",557,"5,750","131,527","5,168","8,505","3,005",419,"1,260,447",1,0,63,10,12,83,123,47,"$                        							126,000,000,000","$                        							317,650,500,000","$                        							5,816,000,000,000","$                        							597,217,000,000",904,"72,408,000",67,"85,494                        						
							km","1,283,387                        						
							km","10,727,000                        						
							bbl","3,684,000                        						
							bbl","80,000,000,000                        						
							bbl","617,830,000,000                        						
							Cu.M","472,239,000,000                        						
							Cu.M","47,805,000,000,000                        						
							Cu.M","508,190,000                        						
							Cu.M","310,958,000                        						
							mt","162,166,000,000                        						
							Cu.M","17,098,242                        						
							km","37,653                        						
							km","22,407                        						
							km","102,000                        						
							km"
China,3,"1,415,043,270","764,123,366","626,864,169","19,810,606","2,035,000","510,000","625,000",,"3,309","1,212",371,289,402,112,10,913,281,"6,800","144,017","3,490","1,000","2,750",754,"2,857,143",3,4,61,50,47,72,150,36,"$                        							266,850,000,000","$                        							1,218,458,500,000","$                        							31,227,000,000,000","$                        							3,450,000,000,000",531,"779,246,000",66,"150,000                        						
							km","5,200,000                        						
							km","4,984,000                        						
							bbl","15,148,000                        						
							bbl","26,023,000,000                        						
							bbl","225,341,000,000                        						
							Cu.M","366,160,000,000                        						
							Cu.M","6,654,000,000,000                        						
							Cu.M","4,827,000,000                        						
							Cu.M","5,313,000,000                        						
							mt","143,197,000,000                        						
							Cu.M","9,596,960                        						
							km","14,500                        						
							km","22,457                        						
							km","27,700                        						
							km"
India,4,"1,409,128,296","662,290,299","522,786,598","23,955,181","1,455,550","1,155,000","2,527,000",,"2,229",513,130,270,351,74,6,899,80,"4,201","148,594",100,"3,975",264,293,"593,603",2,0,18,13,14,18,135,0,"$                        							75,000,000,000","$                        							371,020,500,000","$                        							13,104,000,000,000","$                        							627,793,000,000",311,"593,729,000",56,"65,554                        						
							km","6,371,847                        						
							km","795,000                        						
							bbl","5,049,000                        						
							bbl","4,605,000,000                        						
							bbl","33,170,000,000                        						
							Cu.M","58,867,000,000                        						
							Cu.M","1,381,000,000,000                        						
							Cu.M","985,671,000                        						
							Cu.M","1,200,000,000                        						
							mt","111,052,000,000                        						
							Cu.M","3,287,263                        						
							km","7,000                        						
							km","13,888                        						
							km","14,500                        						
							km"
South Korea,5,"52,081,799","26,040,900","21,353,538","416,654","600,000","3,100,000","120,000",,"1,592",315,98,41,318,36,4,807,111,"2,236","58,880","3,270","4,400",426,227,"344,786",0,2,22,13,17,5,35,14,"$                        							46,300,000,000","$                        							503,519,500,000","$                        							2,615,000,000,000","$                        							420,930,000,000",89,"29,611,000",15,"3,979                        						
							km","100,428                        						
							km","38,000                        						
							bbl","2,452,000                        						
							bbl","0                        						
							bbl","55,127,000                        						
							Cu.M","59,480,000,000                        						
							Cu.M","7,079,000,000                        						
							Cu.M","15,595,000                        						
							Cu.M","136,413,000                        						
							mt","326,000,000                        						
							Cu.M","99,720                        						
							km","2,413                        						
							km","237                        						
							km","1,600                        						
							km"
United Kingdom,6,"68,459,055","31,491,165","25,192,932","753,050","184,860","924,000",0,,631,113,31,29,203,28,9,266,37,227,"38,200",71,126,29,109,"394,043",2,0,9,6,8,0,26,7,"$                        							71,500,540,000","$                        							9,593,749,000,000","$                        							3,700,000,000,000","$                        							177,915,000,000","1,043","35,275,000",185,"16,390                        						
							km","394,428                        						
							km","753,000                        						
							bbl","1,397,000                        						
							bbl","2,500,000,000                        						
							bbl","37,758,000,000                        						
							Cu.M","70,141,000,000                        						
							Cu.M","180,661,000,000                        						
							Cu.M","1,891,000                        						
							Cu.M","8,568,000                        						
							mt","26,000,000                        						
							Cu.M","243,610                        						
							km","12,429                        						
							km","443                        						
							km","3,200                        						
							km"
France,7,"68,374,591","30,084,820","23,794,358","752,121","200,000","26,000","150,000",,976,226,0,119,141,44,16,448,68,215,"110,932",96,0,9,129,"428,765",1,3,9,11,11,0,20,17,"$                        							55,000,000,000","$                        							6,992,104,900,000","$                        							3,764,000,000,000","$                        							240,792,000,000",689,"31,825,000",66,"27,860                        						
							km","1,053,215                        						
							km","80,000                        						
							bbl","1,554,000                        						
							bbl","61,719,000                        						
							bbl","20,132,000                        						
							Cu.M","37,001,000,000                        						
							Cu.M","7,787,000,000                        						
							Cu.M","2,419,000                        						
							Cu.M","12,985,000                        						
							mt","160,000,000                        						
							Cu.M","643,801                        						
							km","4,853                        						
							km","4,072                        						
							km","8,501                        						
							km"
Japan,8,"123,201,945","52,976,836","42,874,277","1,108,818","247,150","56,000","25,000",,"1,443",217,38,55,401,141,10,596,119,521,"31,964",149,480,54,159,"769,882",0,4,24,42,6,0,6,22,"$                        							57,000,000,000","$                        							4,679,698,100,000","$                        							5,761,000,000,000","$                        							1,295,000,000,000",279,"69,349,000",163,"27,311                        						
							km","1,218,772                        						
							km","8,000                        						
							bbl","3,289,000                        						
							bbl","44,115,000                        						
							bbl","2,220,000,000                        						
							Cu.M","92,843,000,000                        						
							Cu.M","20,898,000,000                        						
							Cu.M","29,141,000                        						
							Cu.M","216,332,000                        						
							mt","350,000,000                        						
							Cu.M","377,915                        						
							km","29,751                        						
							km","0                        						
							km","1,770                        						
							km"
Turkiye,9,"84,119,531","42,985,080","36,087,279","1,430,032","355,200","378,700","150,000",,"1,083",201,0,84,287,28,7,508,111,"2,238","61,173","1,038","1,707",296,182,"325,729",0,1,13,0,17,9,41,11,"$                        							47,000,000,000","$                        							294,441,000,000","$                        							2,936,000,000,000","$                        							140,858,000,000",115,"35,071,000",54,"11,497                        						
							km","67,333                        						
							km","83,000                        						
							bbl","1,077,000                        						
							bbl","366,000,000                        						
							bbl","379,701,000                        						
							Cu.M","2,887,000,000                        						
							Cu.M","3,794,000,000                        						
							Cu.M","88,746,000                        						
							Cu.M","123,976,000                        						
							mt","11,525,000,000                        						
							Cu.M","783,562                        						
							km","7,200                        						
							km","2,816                        						
							km","1,200                        						
							km"
Italy,10,"60,964,931","27,434,219","22,191,235","548,684","165,500","18,500","105,000",,729,89,67,30,162,23,8,392,37,200,"73,480",64,108,21,196,"359,417",2,0,8,3,10,0,19,10,"$                        							30,890,000,000","$                        							2,750,000,000,000","$                        							3,097,000,000,000","$                        							247,396,000,000",636,"25,669,000",123,"18,475                        						
							km","487,700                        						
							km","116,000                        						
							bbl","1,246,000                        						
							bbl","497,934,000                        						
							bbl","3,117,000,000                        						
							Cu.M","68,735,000,000                        						
							Cu.M","45,750,000,000                        						
							Cu.M","1,618,000                        						
							Cu.M","13,127,000                        						
							mt","609,999,000                        						
							Cu.M","301,340                        						
							km","7,600                        						
							km","1,836                        						
							km","2,400                        						
							km"
Brazil,11,"220,051,512","112,226,271","88,680,759","3,520,824","360,000","340,000","200,000",,513,43,38,109,133,25,0,191,0,294,"22,464",109,412,38,64,"135,737",0,1,4,0,6,2,23,3,"$                        							26,157,300,000","$                        							432,224,000,000","$                        							4,016,000,000,000","$                        							355,021,000,000","4,919","108,695,000",45,"29,850                        						
							km","2,000,000                        						
							km","4,221,000                        						
							bbl","3,027,000                        						
							bbl","12,715,000,000                        						
							bbl","22,670,000,000                        						
							Cu.M","31,654,000,000                        						
							Cu.M","363,985,000,000                        						
							Cu.M","15,644,000                        						
							Cu.M","32,787,000                        						
							mt","6,596,000,000                        						
							Cu.M","8,515,770                        						
							km","7,491                        						
							km","16,145                        						
							km","50,000                        						
							km"
Pakistan,12,"252,363,571","108,516,336","85,803,614","4,794,908","654,000","550,000","500,000",,"1,399",328,90,64,565,27,4,373,57,"2,627","17,516",662,"2,629",600,121,"111,715",0,0,8,0,9,9,69,3,"$                        							7,640,000,000","$                        							92,426,000,000","$                        							1,347,000,000,000","$                        							13,730,000,000",116,"80,990,000",3,"11,881                        						
							km","264,175                        						
							km","101,000                        						
							bbl","473,000                        						
							bbl","540,000,000                        						
							bbl","36,937,000,000                        						
							Cu.M","46,448,000,000                        						
							Cu.M","592,219,000,000                        						
							Cu.M","12,712,000                        						
							Cu.M","34,027,000                        						
							mt","3,064,000,000                        						
							Cu.M","796,095                        						
							km","1,046                        						
							km","7,257                        						
							km","0                        						
							km"
Indonesia,13,"281,562,465","137,965,608","114,595,923","4,786,562","400,000","400,000","250,000",,459,41,34,70,112,17,1,214,15,331,"20,440",153,396,63,331,"304,168",0,0,4,0,7,25,211,12,"$                        							10,600,000,000","$                        							440,000,000,000","$                        							3,906,000,000,000","$                        							146,359,000,000",513,"140,931,000",123,"8,159                        						
							km","496,607                        						
							km","865,000                        						
							bbl","1,728,000                        						
							bbl","2,480,000,000                        						
							bbl","57,410,000,000                        						
							Cu.M","36,061,000,000                        						
							Cu.M","1,408,000,000,000                        						
							Cu.M","659,357,000                        						
							Cu.M","202,283,000                        						
							mt","34,869,000,000                        						
							Cu.M","1,904,569                        						
							km","54,716                        						
							km","2,958                        						
							km","21,579                        						
							km"
Germany,14,"84,119,100","38,694,786","30,955,829","841,191","181,600","34,000",0,,584,129,63,50,35,26,3,309,54,296,"83,260",134,0,33,61,"228,552",0,0,6,0,11,5,0,12,"$                        							50,000,000,000","$                        							6,238,609,300,000","$                        							5,230,000,000,000","$                        							322,700,000,000",838,"44,784,000",35,"39,379                        						
							km","830,000                        						
							km","131,000                        						
							bbl","2,052,000                        						
							bbl","115,200,000                        						
							bbl","4,824,000,000                        						
							Cu.M","77,516,000,000                        						
							Cu.M","23,390,000,000                        						
							Cu.M","138,981,000                        						
							Cu.M","186,725,000                        						
							mt","35,900,000,000                        						
							Cu.M","357,022                        						
							km","2,389                        						
							km","3,694                        						
							km","7,300                        						
							km"
Israel,15,"9,402,617","3,949,099","3,281,513","131,637","170,000","465,000","35,000",,611,240,38,13,159,19,14,147,48,"1,300","35,985",352,171,183,62,"38,238",0,0,5,0,0,7,46,0,"$                        							30,500,000,000","$                        							148,500,000,000","$                        							471,030,000,000","$                        							204,661,000,000",37,"4,554,000",5,"1,497                        						
							km","20,391                        						
							km","15,000                        						
							bbl","230,000                        						
							bbl","12,730,000                        						
							bbl","22,886,000,000                        						
							Cu.M","11,510,000,000                        						
							Cu.M","176,018,000,000                        						
							Cu.M","0                        						
							Cu.M","6,476,000                        						
							mt","0                        						
							Cu.M","21,937                        						
							km","273                        						
							km","1,068                        						
							km","0                        						
							km"
