country,power_index_rank,population,total_personnel,manpowerfitformilitaryservice,manpowerreachingmilitaryageannually,active_personnel,reserve_personnel,manpowerparamilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircrafttotaltrainers,aircrafttotalspecialmission,aircrafttotaltankerfleet,helicopters,aircrafthelicoptersattack,tanks,armored_vehicles,armorselfpropelledgunstotal,artillery_units,armormlrstotal,naval_assets,navyforcebytonnage,aircraft_carriers,navyhelocarriers,navysubmarines,navydestroyers,navyfrigates,navycorvettes,navypatrolcoastalcraft,navyminewarfarecraft,defense_budget_usd,externaldebtbycountry,gdp_usd,reservesofforeignexchangeandgold,majorserviceableairportsbycountry,laborforcebycountry,majorportsandterminals,merchantmarinestrengthbycountry,roadwaycoverage,railwaycoverage,oilproductionbycountry,oilconsumptionbycountry,provenoilreservesbycountry,naturalgasproductionbycountry,naturalgasconsumptionbycountry,provennaturalgasreservesbycountry,coalproductionbycountry,coalconsumptionbycountry,provencoalreservesbycountry,land_area_sq_km,coastline_km,bordercoverage,waterwaycoverage,capital_city,continent,region,alliance,year,power_index_score,assets_per_capita,defense_budget_gdp_ratio,personnel_density,budget_per_soldier,rank_gap,air_power_ratio,armor_intensity,naval_per_coastline,military_burden,total_assets
United States,1,341963408,150463900,124816644,4445524,1328000,799500,0,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,4168037,11,9,70,81,0,26,0,8,895000000000.0,22300000000000.0,24700000000000.0,773000000000.0,15873,170549000,666,3533,6586610,293564,20879000,20245000,38212000000.0,1030000000000.0,914000000000.0,13400000000000.0,548849000,476044000,249000000000.0,9833517,19924,12002,41009,Washington D.C.,North America,North America,NATO,2025,0.0744,5.299689842838389e-05,0.03623481781376518,0.44000000140365897,673945.7831325302,0,0.009821536144578313,0.00047185559347688117,0.022083918891788797,2617.239093605009,18123
Russia,2,140820810,69002197,46189226,1267387,1320000,2000000,250000,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1260447,1,0,63,10,12,83,123,47,126000000000.0,318000000000.0,5820000000000.0,597000000000.0,904,72408000,67,2910,1283387,85494,10727000,3684000,80000000000.0,618000000000.0,472000000000.0,47800000000000.0,508190000,310958000,162000000000.0,17098242,37653,22407,102000,Moscow,Europe,Eastern Europe,Non-NATO,2025,0.0788,7.428589567124348e-05,0.021649484536082474,0.49000000071012234,95454.54545454546,1,0.0032515151515151515,0.0003362918831070469,0.011127931373330147,894.7541205025025,10461
China,3,1415043270,764123366,626864169,19810606,2035000,510000,625000,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,2857143,3,4,61,50,47,72,150,36,267000000000.0,1220000000000.0,31200000000000.0,3450000000000.0,531,779246000,66,8314,5200000,150000,4984000,15148000,26023000000.0,225000000000.0,366000000000.0,6650000000000.0,4827000000,5313000000,143000000000.0,9596960,14500,22457,27700,Beijing,Asia,East Asia,Non-NATO,2025,0.0788,7.676797049464077e-06,0.008557692307692308,0.5400000001413384,131203.9312039312,2,0.001626044226044226,0.0007085577099414814,0.052,188.68680955600743,10863
India,4,1409128296,662290299,522786598,23955181,1455550,1155000,2527000,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,593603,2,0,18,13,14,18,135,0,75000000000.0,371000000000.0,13100000000000.0,628000000000.0,311,593729000,56,1859,6371847,65554,795000,5049000,4605000000.0,33170000000.0,58867000000.0,1380000000000.0,985671000,1200000000,111000000000.0,3287263,7000,13888,14500,New Delhi,Asia,South Asia,Non-NATO,2025,0.1184,4.771034702151776e-06,0.0057251908396946565,0.469999999914841,51526.91422486345,3,0.0015313798907629417,0.0012779628523790156,0.04185714285714286,53.22439426764588,6723
South Korea,5,52081799,26040900,21353538,416654,600000,3100000,120000,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,344786,0,2,22,13,17,5,35,14,46300000000.0,504000000000.0,2620000000000.0,421000000000.0,89,29611000,15,2149,100428,3979,38000,2452000,0.0,55127000.0,59480000000.0,7079000000.0,15595000,136413000,326000000.0,99720,2413,237,1600,Seoul,Asia,East Asia,Non-NATO,2025,0.1656,7.785829364304408e-05,0.01767175572519084,0.5000000096002828,77166.66666666667,4,0.0026533333333333335,0.02242278379462495,0.09407376709490262,888.9861888219338,4055
United Kingdom,6,68459055,31491165,25192932,753050,184860,924000,0,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,394043,2,0,9,6,8,0,26,7,71500540000.0,9590000000000.0,3700000000000.0,178000000000.0,1043,35275000,185,868,394428,16390,753000,1397000,2500000000.0,37758000000.0,70141000000.0,181000000000.0,1891000,8568000,26000000.0,243610,12429,443,3200,London,Europe,Western Europe,NATO,2025,0.1785,1.4125231497863942e-05,0.01932447027027027,0.45999999561781857,386782.1053770421,5,0.0034133939197230337,0.0009318172488814088,0.008769812535199935,1044.4277970240753,967
France,7,68374591,30084820,23794358,752121,200000,26000,150000,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,428765,1,3,9,11,11,0,20,17,55000000000.0,6990000000000.0,3760000000000.0,241000000000.0,689,31825000,66,553,1053215,27860,80000,1554000,61719000.0,20132000.0,37001000000.0,7787000000.0,2419000,12985000,160000000.0,643801,4853,4072,8501,Paris,Europe,Western Europe,NATO,2025,0.1878,1.9305417124908286e-05,0.014627659574468085,0.43999999941498735,275000.0,6,0.00488,0.0003339541255760709,0.026581495981866887,804.3923802045119,1320
Japan,8,123201945,52976836,42874277,1108818,247150,56000,25000,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,769882,0,4,24,42,6,0,6,22,57000000000.0,4680000000000.0,5760000000000.0,1300000000000.0,279,69349000,163,5229,1218772,27311,8000,3289000,44115000.0,2220000000.0,92843000000.0,20898000000.0,29141000,216332000,350000000.0,377915,29751,0,1770,Tokyo,Asia,East Asia,Non-NATO,2025,0.1839,1.7231870811779797e-05,0.009895833333333333,0.4299999971591358,230629.17256726685,7,0.005838559579202913,0.001378616884749216,0.005344358172834527,462.6550335711015,2123
Turkiye,9,84119531,42985080,36087279,1430032,355200,378700,150000,1083,201,0,84,287,28,7,508,111,2238,61173,1038,1707,296,182,325729,0,1,13,0,17,9,41,11,47000000000.0,294000000000.0,2940000000000.0,141000000000.0,115,35071000,54,1170,67333,11497,83000,1077000,366000000.0,379701000.0,2887000000.0,3794000000.0,88746000,123976000,11525000000.0,783562,7200,2816,1200,Ankara,Asia,Middle East,NATO,2025,0.1902,4.164312328369972e-05,0.01598639455782313,0.5109999959462447,132319.81981981982,8,0.0030489864864864866,0.00285618751292176,0.025277777777777777,558.728745170964,3503
Italy,10,60964931,27434219,22191235,548684,165500,18500,105000,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,359417,2,0,8,3,10,0,19,10,30890000000.0,2750000000000.0,3100000000000.0,247000000000.0,636,25669000,123,1276,487700,18475,116000,1246000,497934000.0,3117000000.0,68735000000.0,45750000000.0,1618000,13127000,609999000.0,301340,7600,1836,2400,Rome,Europe,Southern Europe,NATO,2025,0.2164,1.8453231744000496e-05,0.009964516129032258,0.45000000082014363,186646.5256797583,9,0.004404833836858006,0.0006637021304838389,0.025789473684210525,506.68473650860034,1125
Brazil,11,220051512,112226271,88680759,3520824,360000,340000,200000,513,43,38,109,133,25,0,191,0,294,22464,109,412,38,64,135737,0,1,4,0,6,2,23,3,26157300000.0,432000000000.0,4020000000000.0,355000000000.0,4919,108695000,45,888,2000000,29850,4221000,3027000,12715000000.0,22670000000.0,31654000000.0,364000000000.0,15644000,32787000,6596000000.0,8515770,7491,16145,50000,Brasilia,South America,South America,Non-NATO,2025,0.2415,3.958164122953174e-06,0.006506791044776119,0.5099999994546731,72659.16666666667,10,0.001425,3.452418278088769e-05,0.008543585636096649,118.86898554916542,871
