country,capital_city,region,continent,alliance,year,power_index_rank,population,total_personnel,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active_personnel,active-reserve-military-manpower,manpower-paramilitary,total_aircraft,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,tanks,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,naval_assets,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense_budget_usd,external-debt-by-country,gdp_usd,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,merchant-marine-strength-by-country,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,land_area_sq_km,coastline_km,border-coverage,waterway-coverage,total_assets,assets_per_capita,budget_to_gdp_ratio,personnel_density,budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,coalition_strength_index
United States,"Washington, D.C.",North America,North America,NATO,2026,1,341963408.0,150463900.0,124816644.0,4445524.0,1328000.0,799500.0,0.0,13043.0,1790.0,889.0,918.0,2647.0,647.0,605.0,5843.0,1002.0,4640.0,391963.0,671.0,1212.0,641.0,440.0,4168037.0,11.0,9.0,70.0,81.0,0.0,26.0,0.0,8.0,895000000000.0,22303546100000.0,24662000000000.0,773426000000.0,15873.0,170549000.0,666.0,3533.0,293564.0,6586610.0,20879000.0,20245000.0,38212000000.0,1029000000000.0,914301000000.0,13402000000000.0,548849000.0,476044000.0,248941000000.0,9833517.0,19924.0,12002.0,41009.0,18123.0,5.299689842838389e-05,0.03629064958235342,0.44000000140365897,673945.7831325302,0,0.009821536144578313,0.00047185559347688117,0.022083918891788797,2617.239093605009,25562.0
Russia,Moscow,Eastern Europe,Europe,Non-NATO,2026,2,140820810.0,69002197.0,46189226.0,1267387.0,1320000.0,2000000.0,250000.0,4292.0,833.0,689.0,456.0,611.0,141.0,19.0,1651.0,557.0,5750.0,131527.0,5168.0,8505.0,3005.0,419.0,1260447.0,1.0,0.0,63.0,10.0,12.0,83.0,123.0,47.0,126000000000.0,317650500000.0,5816000000000.0,597217000000.0,904.0,72408000.0,67.0,2910.0,85494.0,1283387.0,10727000.0,3684000.0,80000000000.0,617830000000.0,472239000000.0,47805000000000.0,508190000.0,310958000.0,162166000000.0,17098242.0,37653.0,22407.0,102000.0,10461.0,7.428589567124348e-05,0.021664374140302613,0.49000000071012234,95454.54545454546,1,0.0032515151515151515,0.0003362918831070469,0.011127931373330147,894.7541205025025,25562.0
China,Beijing,East Asia,Asia,Non-NATO,2026,3,1415043270.0,764123366.0,626864169.0,19810606.0,2035000.0,510000.0,625000.0,3309.0,1212.0,371.0,289.0,402.0,112.0,10.0,913.0,281.0,6800.0,144017.0,3490.0,1000.0,2750.0,754.0,2857143.0,3.0,4.0,61.0,50.0,47.0,72.0,150.0,36.0,266850000000.0,1218458500000.0,31227000000000.0,3450000000000.0,531.0,779246000.0,66.0,8314.0,150000.0,5200000.0,4984000.0,15148000.0,26023000000.0,225341000000.0,366160000000.0,6654000000000.0,4827000000.0,5313000000.0,143197000000.0,9596960.0,14500.0,22457.0,27700.0,10863.0,7.676797049464077e-06,0.008545489480257469,0.5400000001413384,131130.22113022112,2,0.001626044226044226,0.0007085577099414814,0.052,188.58080573041417,25562.0
India,New Delhi,South Asia,Asia,Non-NATO,2026,4,1409128296.0,662290299.0,522786598.0,23955181.0,1455550.0,1155000.0,2527000.0,2229.0,513.0,130.0,270.0,351.0,74.0,6.0,899.0,80.0,4201.0,148594.0,100.0,3975.0,264.0,293.0,593603.0,2.0,0.0,18.0,13.0,14.0,18.0,135.0,0.0,75000000000.0,371020500000.0,13104000000000.0,627793000000.0,311.0,593729000.0,56.0,1859.0,65554.0,6371847.0,795000.0,5049000.0,4605000000.0,33170000000.0,58867000000.0,1381000000000.0,985671000.0,1200000000.0,111052000000.0,3287263.0,7000.0,13888.0,14500.0,6723.0,4.771034702151776e-06,0.005723443223443223,0.469999999914841,51526.91422486345,3,0.0015313798907629417,0.0012779628523790156,0.04185714285714286,53.22439426764588,25562.0
South Korea,Seoul,East Asia,Asia,Non-NATO,2026,5,52081799.0,26040900.0,21353538.0,416654.0,600000.0,3100000.0,120000.0,1592.0,315.0,98.0,41.0,318.0,36.0,4.0,807.0,111.0,2236.0,58880.0,3270.0,4400.0,426.0,227.0,344786.0,0.0,2.0,22.0,13.0,17.0,5.0,35.0,14.0,46300000000.0,503519500000.0,2615000000000.0,420930000000.0,89.0,29611000.0,15.0,2149.0,3979.0,100428.0,38000.0,2452000.0,0.0,55127000.0,59480000000.0,7079000000.0,15595000.0,136413000.0,326000000.0,99720.0,2413.0,237.0,1600.0,4055.0,7.785829364304408e-05,0.017705544933078392,0.5000000096002828,77166.66666666667,4,0.0026533333333333335,0.02242278379462495,0.09407376709490262,888.9861888219338,25562.0
United Kingdom,London,Western Europe,Europe,NATO,2026,6,68459055.0,31491165.0,25192932.0,753050.0,184860.0,924000.0,0.0,631.0,113.0,31.0,29.0,203.0,28.0,9.0,266.0,37.0,227.0,38200.0,71.0,126.0,29.0,109.0,394043.0,2.0,0.0,9.0,6.0,8.0,0.0,26.0,7.0,71500540000.0,9593749000000.0,3700000000000.0,177915000000.0,1043.0,35275000.0,185.0,868.0,16390.0,394428.0,753000.0,1397000.0,2500000000.0,37758000000.0,70141000000.0,180661000000.0,1891000.0,8568000.0,26000000.0,243610.0,12429.0,443.0,3200.0,967.0,1.4125231497863942e-05,0.01932447027027027,0.45999999561781857,386782.1053770421,5,0.0034133939197230337,0.0009318172488814088,0.008769812535199935,1044.4277970240753,25562.0
France,Paris,Western Europe,Europe,NATO,2026,7,68374591.0,30084820.0,23794358.0,752121.0,200000.0,26000.0,150000.0,976.0,226.0,0.0,119.0,141.0,44.0,16.0,448.0,68.0,215.0,110932.0,96.0,0.0,9.0,129.0,428765.0,1.0,3.0,9.0,11.0,11.0,0.0,20.0,17.0,55000000000.0,6992104900000.0,3764000000000.0,240792000000.0,689.0,31825000.0,66.0,553.0,27860.0,1053215.0,80000.0,1554000.0,61719000.0,20132000.0,37001000000.0,7787000000.0,2419000.0,12985000.0,160000000.0,643801.0,4853.0,4072.0,8501.0,1320.0,1.9305417124908286e-05,0.01461211477151966,0.43999999941498735,275000.0,6,0.00488,0.0003339541255760709,0.026581495981866887,804.3923802045119,25562.0
Japan,Tokyo,East Asia,Asia,Non-NATO,2026,8,123201945.0,52976836.0,42874277.0,1108818.0,247150.0,56000.0,25000.0,1443.0,217.0,38.0,55.0,401.0,141.0,10.0,596.0,119.0,521.0,31964.0,149.0,480.0,54.0,159.0,769882.0,0.0,4.0,24.0,42.0,6.0,0.0,6.0,22.0,57000000000.0,4679698100000.0,5761000000000.0,1295000000000.0,279.0,69349000.0,163.0,5229.0,27311.0,1218772.0,8000.0,3289000.0,44115000.0,2220000000.0,92843000000.0,20898000000.0,29141000.0,216332000.0,350000000.0,377915.0,29751.0,0.0,1770.0,2123.0,1.7231870811779797e-05,0.0098941156049297,0.4299999971591358,230629.17256726685,7,0.005838559579202913,0.001378616884749216,0.005344358172834527,462.6550335711015,25562.0
Turkiye,Unknown,Unknown,Unknown,Non-NATO,2026,9,84119531.0,42985080.0,36087279.0,1430032.0,355200.0,378700.0,150000.0,1083.0,201.0,0.0,84.0,287.0,28.0,7.0,508.0,111.0,2238.0,61173.0,1038.0,1707.0,296.0,182.0,325729.0,0.0,1.0,13.0,0.0,17.0,9.0,41.0,11.0,47000000000.0,294441000000.0,2936000000000.0,140858000000.0,115.0,35071000.0,54.0,1170.0,11497.0,67333.0,83000.0,1077000.0,366000000.0,379701000.0,2887000000.0,3794000000.0,88746000.0,123976000.0,11525000000.0,783562.0,7200.0,2816.0,1200.0,3503.0,4.164312328369972e-05,0.01600817438692098,0.5109999959462447,132319.81981981982,8,0.0030489864864864866,0.00285618751292176,0.025277777777777777,558.728745170964,25562.0
Italy,Unknown,Unknown,Unknown,Non-NATO,2026,10,60964931.0,27434219.0,22191235.0,548684.0,165500.0,18500.0,105000.0,729.0,89.0,67.0,30.0,162.0,23.0,8.0,392.0,37.0,200.0,73480.0,64.0,108.0,21.0,196.0,359417.0,2.0,0.0,8.0,3.0,10.0,0.0,19.0,10.0,30890000000.0,2750000000000.0,3097000000000.0,247396000000.0,636.0,25669000.0,123.0,1276.0,18475.0,487700.0,116000.0,1246000.0,497934000.0,3117000000.0,68735000000.0,45750000000.0,1618000.0,13127000.0,609999000.0,301340.0,7600.0,1836.0,2400.0,1125.0,1.8453231744000496e-05,0.00997416855020988,0.45000000082014363,186646.5256797583,9,0.004404833836858006,0.0006637021304838389,0.025789473684210525,506.68473650860034,25562.0
Brazil,Unknown,Unknown,Unknown,Non-NATO,2026,11,220051512.0,112226271.0,88680759.0,3520824.0,360000.0,340000.0,200000.0,513.0,43.0,38.0,109.0,133.0,25.0,0.0,191.0,0.0,294.0,22464.0,109.0,412.0,38.0,64.0,135737.0,0.0,1.0,4.0,0.0,6.0,2.0,23.0,3.0,26157300000.0,432224000000.0,4016000000000.0,355021000000.0,4919.0,108695000.0,45.0,888.0,29850.0,2000000.0,4221000.0,3027000.0,12715000000.0,22670000000.0,31654000000.0,363985000000.0,15644000.0,32787000.0,6596000000.0,8515770.0,7491.0,16145.0,50000.0,871.0,3.958164122953174e-06,0.006513271912350598,0.5099999994546731,72659.16666666667,10,0.001425,3.452418278088769e-05,0.008543585636096649,118.86898554916542,25562.0
Pakistan,Islamabad,South Asia,Asia,Non-NATO,2026,12,252363571.0,108516336.0,85803614.0,4794908.0,654000.0,550000.0,500000.0,1399.0,328.0,90.0,64.0,565.0,27.0,4.0,373.0,57.0,2627.0,17516.0,662.0,2629.0,600.0,121.0,111715.0,0.0,0.0,8.0,0.0,9.0,9.0,69.0,3.0,7640000000.0,92426000000.0,1347000000000.0,13730000000.0,116.0,80990000.0,3.0,60.0,11881.0,264175.0,101000.0,473000.0,540000000.0,36937000000.0,46448000000.0,592219000000.0,12712000.0,34027000.0,3064000000.0,796095.0,1046.0,7257.0,0.0,4147.0,1.6432641143756837e-05,0.005671863400148478,0.4300000018623924,11681.957186544343,11,0.00213914373088685,0.003299857429075676,0.11567877629063097,30.27378305722263,25562.0
Indonesia,Unknown,Unknown,Unknown,Non-NATO,2026,13,281562465.0,137965608.0,114595923.0,4786562.0,400000.0,400000.0,250000.0,459.0,41.0,34.0,70.0,112.0,17.0,1.0,214.0,15.0,331.0,20440.0,153.0,396.0,63.0,331.0,304168.0,0.0,0.0,4.0,0.0,7.0,25.0,211.0,12.0,10600000000.0,440000000000.0,3906000000000.0,146359000000.0,513.0,140931000.0,123.0,11422.0,8159.0,496607.0,865000.0,1728000.0,2480000000.0,57410000000.0,36061000000.0,1408000000000.0,659357000.0,202283000.0,34869000000.0,1904569.0,54716.0,2958.0,21579.0,1121.0,3.981354545961942e-06,0.002713773681515617,0.49000000053274145,26500.0,12,0.0011475,0.00017379260084565064,0.006049418817164997,37.647063503297574,25562.0
Germany,Berlin,Western Europe,Europe,NATO,2026,14,84119100.0,38694786.0,30955829.0,841191.0,181600.0,34000.0,0.0,584.0,129.0,63.0,50.0,35.0,26.0,3.0,309.0,54.0,296.0,83260.0,134.0,0.0,33.0,61.0,228552.0,0.0,0.0,6.0,0.0,11.0,5.0,0.0,12.0,50000000000.0,6238609300000.0,5230000000000.0,322700000000.0,838.0,44784000.0,35.0,595.0,39379.0,830000.0,131000.0,2052000.0,115200000.0,4824000000.0,77516000000.0,23390000000.0,138981000.0,186725000.0,35900000000.0,357022.0,2389.0,3694.0,7300.0,941.0,1.1186520065003074e-05,0.009560229445506692,0.46,275330.3964757709,13,0.0032158590308370046,0.0008290805608617956,0.025533696107157805,594.395327577209,25562.0
Israel,Unknown,Unknown,Unknown,Non-NATO,2026,15,9402617.0,3949099.0,3281513.0,131637.0,170000.0,465000.0,35000.0,611.0,240.0,38.0,13.0,159.0,19.0,14.0,147.0,48.0,1300.0,35985.0,352.0,171.0,183.0,62.0,38238.0,0.0,0.0,5.0,0.0,0.0,7.0,46.0,0.0,30500000000.0,148500000000.0,471030000000.0,204661000000.0,37.0,4554000.0,5.0,41.0,1497.0,20391.0,15000.0,230000.0,12730000.0,22886000000.0,11510000000.0,176018000000.0,0.0,6476000.0,0.0,21937.0,273.0,1068.0,0.0,1973.0,0.00020983519800923508,0.06475171432817442,0.4199999851105283,179411.76470588235,14,0.0035941176470588236,0.059260609928431414,0.2271062271062271,3243.777769529483,25562.0
Iran,Unknown,Unknown,Unknown,Non-NATO,2026,16,88386937.0,49496685.0,41541860.0,1414191.0,610000.0,350000.0,220000.0,551.0,188.0,21.0,87.0,103.0,10.0,6.0,128.0,13.0,1713.0,65825.0,392.0,2070.0,1517.0,107.0,223395.0,0.0,0.0,25.0,0.0,7.0,3.0,21.0,1.0,15450000000.0,4134926000.0,1440000000000.0,120600000000.0,173.0,29159000.0,18.0,965.0,8484.0,223485.0,3985000.0,2136000.0,208600000000.0,263280000000.0,244890000000.0,33987000000000.0,2791000.0,3531000.0,1203000000.0,1648195.0,2440.0,5894.0,850.0,2371.0,2.6825230972762412e-05,0.010729166666666666,0.5600000031678889,25327.868852459018,15,0.0009032786885245902,0.0010393187699271021,0.043852459016393446,174.79958605195245,25562.0
Spain,Unknown,Unknown,Unknown,Non-NATO,2026,17,47280433.0,21748999.0,17635602.0,330963.0,133282.0,15150.0,78470.0,461.0,137.0,12.0,51.0,140.0,8.0,0.0,153.0,17.0,317.0,17626.0,95.0,287.0,0.0,152.0,215346.0,1.0,0.0,2.0,0.0,11.0,0.0,22.0,6.0,23397000000.0,2572738300000.0,2242000000000.0,103089000000.0,363.0,24108000.0,52.0,503.0,15489.0,683175.0,47000.0,1269000.0,150000000.0,41009000.0,32833000000.0,2549000000.0,1293000.0,8255000.0,1187000000.0,505370.0,4964.0,1953.0,1000.0,930.0,1.9669870620685727e-05,0.010435771632471008,0.45999999619292825,175545.0848576702,16,0.0034588316501853213,0.0006272631933039159,0.030620467365028204,494.85587409912256,25562.0
Australia,Unknown,Unknown,Unknown,Non-NATO,2026,18,26768598.0,11242811.0,9208398.0,294455.0,57350.0,32050.0,0.0,327.0,24.0,62.0,38.0,98.0,30.0,6.0,69.0,22.0,59.0,15648.0,0.0,48.0,0.0,44.0,185648.0,0.0,2.0,6.0,3.0,7.0,0.0,10.0,3.0,55700000000.0,3427504300000.0,1584000000000.0,61703000000.0,2180.0,14501000.0,66.0,604.0,36064.0,873573.0,386000.0,1123000.0,2446000000.0,153783000000.0,50188000000.0,3228000000000.0,465865000.0,107624000.0,150227000000.0,7741220.0,25760.0,0.0,2000.0,430.0,1.6063598101028677e-05,0.03516414141414141,0.4199999940228472,971229.293809939,17,0.005701830863121185,7.621537690441558e-06,0.0017080745341614906,2080.7963121565053,25562.0
Egypt,Unknown,Unknown,Unknown,Non-NATO,2026,19,111247248.0,45611372.0,38269053.0,1668709.0,440000.0,480000.0,300000.0,1093.0,238.0,90.0,61.0,345.0,11.0,0.0,348.0,100.0,3620.0,41012.0,1056.0,962.0,528.0,150.0,235989.0,0.0,2.0,8.0,0.0,13.0,7.0,62.0,17.0,5879500000.0,103750000000.0,1912000000000.0,33070000000.0,73.0,33431000.0,31.0,441.0,5085.0,65050.0,667000.0,851000.0,3300000000.0,64817000000.0,60089000000.0,1784000000000.0,289000.0,3083000.0,182000000.0,1001450.0,2450.0,2612.0,3500.0,4863.0,4.3713440893387317e-05,0.00307505230125523,0.41000000287647564,13362.5,18,0.002484090909090909,0.0036147586000299567,0.061224489795918366,52.85074557529729,25562.0
Ukraine,Unknown,Unknown,Unknown,Non-NATO,2026,20,35661826.0,18187531.0,12731272.0,392280.0,900000.0,1200000.0,100000.0,324.0,70.0,36.0,24.0,73.0,3.0,0.0,136.0,39.0,1114.0,18920.0,658.0,615.0,279.0,89.0,28138.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,53700000000.0,132000000000.0,559981000000.0,40510000000.0,148.0,20312000.0,26.0,410.0,21733.0,169694.0,3000.0,248000.0,395000000.0,18725000000.0,22856000000.0,1104000000000.0,4248000.0,10953000.0,34375000000.0,603550.0,2782.0,5581.0,1672.0,1527.0,4.2818895476636556e-05,0.09589611076090082,0.5099999927092909,59666.666666666664,19,0.00036,0.001845746002816668,0.03199137311286844,1505.8118448561777,25562.0
Poland,Unknown,Unknown,Unknown,Non-NATO,2026,21,38746310.0,18985692.0,15576017.0,464956.0,202100.0,350000.0,50000.0,479.0,59.0,44.0,49.0,105.0,11.0,0.0,216.0,29.0,614.0,23138.0,677.0,0.0,196.0,62.0,,0.0,0.0,1.0,0.0,2.0,2.0,3.0,26.0,48700000000.0,386947000000.0,1616000000000.0,193783000000.0,288.0,18387000.0,10.0,152.0,19461.0,420000.0,24000.0,722000.0,113000000.0,5551000000.0,20056000000.0,91492000000.0,116682000.0,123782000.0,28531000000.0,312685.0,440.0,2845.0,3997.0,1155.0,2.9809290226604805e-05,0.030136138613861385,0.49000000258089094,240969.8169223157,20,0.0023701138050470066,0.001963637526584262,0.1409090909090909,1256.8938822819514,25562.0
Taiwan,Unknown,Unknown,Unknown,Non-NATO,2026,22,23595274.0,12269542.0,1061787.0,306739.0,215000.0,2310000.0,55000.0,761.0,285.0,0.0,19.0,232.0,18.0,0.0,236.0,91.0,888.0,19921.0,488.0,1360.0,234.0,97.0,250414.0,0.0,0.0,4.0,4.0,22.0,7.0,37.0,14.0,19740000000.0,209000000000.0,1257300000000.0,492635000000.0,53.0,11498000.0,8.0,465.0,1613.0,43206.0,800.0,1022000.0,2380000.0,63747000.0,21157000000.0,6230000000.0,5608000.0,66855000.0,1000000.0,35980.0,1566.0,0.0,0.0,1746.0,7.39978692343221e-05,0.015700310188499166,0.5199999796569431,91813.95348837209,21,0.00353953488372093,0.024680377987770983,0.06194125159642401,836.608212305566,25562.0
Vietnam,Unknown,Unknown,Unknown,Non-NATO,2026,23,105758975.0,54994667.0,45053323.0,1797903.0,600000.0,5000000.0,250000.0,246.0,41.0,32.0,9.0,60.0,3.0,0.0,101.0,0.0,1374.0,11912.0,40.0,535.0,474.0,110.0,107813.0,0.0,0.0,9.0,0.0,9.0,16.0,35.0,8.0,8594000000.0,110000000000.0,1354000000000.0,97955500000.0,42.0,56149000.0,16.0,1973.0,2600.0,195468.0,187000.0,494000.0,4400000000.0,7676000000.0,7676000000.0,699426000000.0,43614000.0,83116000.0,3360000000.0,331210.0,3444.0,4616.0,47130.0,1730.0,1.6357949762656077e-05,0.00634711964549483,0.52,14323.333333333334,22,0.00041,0.004148425470245464,0.03193960511033682,81.26024292500944,25562.0
