country,region,continent,alliance,year,kpi_name,kpi_value
Afghanistan,,Asia,Non-NATO,2025,power_index_rank_gap,117.0
Afghanistan,,Asia,Non-NATO,2025,assets_per_capita,5211.0
Afghanistan,,Asia,Non-NATO,2025,budget_to_gdp_percent,1.4148323225469266
Albania,,Europe,NATO,2025,power_index_rank_gap,77.0
Albania,,Europe,NATO,2025,assets_per_capita,1911.0000122300537
Albania,,Europe,NATO,2025,budget_to_gdp_percent,2.0663075848938917
Algeria,North Africa,Africa,Non-NATO,2025,power_index_rank_gap,25.0
Algeria,North Africa,Africa,Non-NATO,2025,assets_per_capita,28576.000004444682
Algeria,North Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,9.282559112995205
Angola,,Africa,Non-NATO,2025,power_index_rank_gap,55.0
Angola,,Africa,Non-NATO,2025,assets_per_capita,6682.000001612814
Angola,,Africa,Non-NATO,2025,budget_to_gdp_percent,0.7177328128140097
Argentina,South America,South America,Non-NATO,2025,power_index_rank_gap,32.0
Argentina,South America,South America,Non-NATO,2025,assets_per_capita,22477.00000144698
Argentina,South America,South America,Non-NATO,2025,budget_to_gdp_percent,0.1430256806862473
Armenia,,Asia,Non-NATO,2025,power_index_rank_gap,90.0
Armenia,,Asia,Non-NATO,2025,assets_per_capita,1634.0
Armenia,,Asia,Non-NATO,2025,budget_to_gdp_percent,6.549728234853724
Australia,Oceania,Oceania,Non-NATO,2025,power_index_rank_gap,17.0
Australia,Oceania,Oceania,Non-NATO,2025,assets_per_capita,16082.000002801791
Australia,Oceania,Oceania,Non-NATO,2025,budget_to_gdp_percent,3.1701359278364962
Austria,Western Europe,Europe,Non-NATO,2025,power_index_rank_gap,67.0
Austria,Western Europe,Europe,Non-NATO,2025,assets_per_capita,7463.0
Austria,Western Europe,Europe,Non-NATO,2025,budget_to_gdp_percent,1.0239052007522091
Azerbaijan,,Asia,Non-NATO,2025,power_index_rank_gap,59.0
Azerbaijan,,Asia,Non-NATO,2025,assets_per_capita,8943.00000591536
Azerbaijan,,Asia,Non-NATO,2025,budget_to_gdp_percent,6.344576171115459
Bahrain,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,80.0
Bahrain,Middle East,Asia,Non-NATO,2025,assets_per_capita,3072.0000753085096
Bahrain,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,3.3903821013727478
Bangladesh,South Asia,Asia,Non-NATO,2025,power_index_rank_gap,34.0
Bangladesh,South Asia,Asia,Non-NATO,2025,assets_per_capita,12664.00000117963
Bangladesh,South Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,0.9505974276008222
Belarus,,,Non-NATO,2025,power_index_rank_gap,69.0
Belarus,,,Non-NATO,2025,assets_per_capita,7823.0
Belarus,,,Non-NATO,2025,budget_to_gdp_percent,1.367666571067224
Belgium,Western Europe,Europe,NATO,2025,power_index_rank_gap,60.0
Belgium,Western Europe,Europe,NATO,2025,assets_per_capita,4714.000001502801
Belgium,Western Europe,Europe,NATO,2025,budget_to_gdp_percent,1.5192812844948929
Beliz,,North America,Non-NATO,2025,power_index_rank_gap,136.0
Beliz,,North America,Non-NATO,2025,assets_per_capita,133.0000384810565
Beliz,,North America,Non-NATO,2025,budget_to_gdp_percent,0.9220160118265769
Benin,,Africa,Non-NATO,2025,power_index_rank_gap,143.0
Benin,,Africa,Non-NATO,2025,assets_per_capita,113.00000027216342
Benin,,Africa,Non-NATO,2025,budget_to_gdp_percent,0.45781143766112026
Bhutan,,,Non-NATO,2025,power_index_rank_gap,144.0
Bhutan,,,Non-NATO,2025,assets_per_capita,86.0
Bhutan,,,Non-NATO,2025,budget_to_gdp_percent,0.4646690869051762
Bolivia,,South America,Non-NATO,2025,power_index_rank_gap,79.0
Bolivia,,South America,Non-NATO,2025,assets_per_capita,1114.000009502944
Bolivia,,South America,Non-NATO,2025,budget_to_gdp_percent,1.0025267710069905
Bosnia and Herzegovina,,Europe,Non-NATO,2025,power_index_rank_gap,131.0
Bosnia and Herzegovina,,Europe,Non-NATO,2025,assets_per_capita,1244.0
Bosnia and Herzegovina,,Europe,Non-NATO,2025,budget_to_gdp_percent,0.7307460235889959
Botswana,,Africa,Non-NATO,2025,power_index_rank_gap,121.0
Botswana,,Africa,Non-NATO,2025,assets_per_capita,1350.0
Botswana,,Africa,Non-NATO,2025,budget_to_gdp_percent,2.291208845327009
Brazil,South America,South America,Non-NATO,2025,power_index_rank_gap,10.0
Brazil,South America,South America,Non-NATO,2025,assets_per_capita,23683.000000468073
Brazil,South America,South America,Non-NATO,2025,budget_to_gdp_percent,0.9998369338524546
Bulgaria,Eastern Europe,Europe,NATO,2025,power_index_rank_gap,61.0
Bulgaria,Eastern Europe,Europe,NATO,2025,assets_per_capita,5093.000007814045
Bulgaria,Eastern Europe,Europe,NATO,2025,budget_to_gdp_percent,1.2115681510838905
Burkina Faso,,Africa,Non-NATO,2025,power_index_rank_gap,128.0
Burkina Faso,,Africa,Non-NATO,2025,assets_per_capita,524.0
