country,region,continent,alliance,year,power_index_rank_gap,assets_per_capita,budget_to_gdp_percent
China,East Asia,Asia,Non-NATO,2025,2,155126.0000008318,1.423670519627119
India,South Asia,Asia,Non-NATO,2025,3,158999.00000034986,1.9182117803148837
United States,North America,North America,NATO,2025,0,410858.00000188616,3.112939952085128
Indonesia,Southeast Asia,Asia,Non-NATO,2025,12,21626.00000209545,0.7591491265905687
Pakistan,South Asia,Asia,Non-NATO,2025,11,24171.000000867796,2.037929519197942
Nigeria,Sub-Saharan Africa,Africa,Non-NATO,2025,30,9794.00000103486,0.4728981524889918
Brazil,South America,South America,Non-NATO,2025,10,23683.000000468073,0.9998369338524546
Bangladesh,South Asia,Asia,Non-NATO,2025,34,12664.00000117963,0.9505974276008222
Russia,Eastern Europe,Europe,Non-NATO,2025,1,150074.00000538272,5.294117647058823
Mexico,North America,North America,Non-NATO,2025,31,20161.00000241701,0.40940210989776477
Japan,East Asia,Asia,Non-NATO,2025,7,34408.00000213471,0.9087484259982318
Ethiopia,Sub-Saharan Africa,Africa,Non-NATO,2025,51,8006.0,1.4008086191057108
Philippines,Southeast Asia,Asia,Non-NATO,2025,40,12384.000001471122,0.9488374914688781
Democratic Republic of the Congo,,,Non-NATO,2025,65,1127.000000277289,0.4857073170731707
Egypt,North Africa,Africa,Non-NATO,2025,18,46687.00000232815,1.511439588688946
Vietnam,Southeast Asia,Asia,Non-NATO,2025,22,14067.000001768172,1.8054621848739496
Iran,Middle East,Asia,Non-NATO,2025,15,70159.00000185547,1.0369127516778522
Turkiye,,Asia,Non-NATO,2025,8,66201.00000325727,3.4581103708010548
Germany,Western Europe,Europe,NATO,2025,13,84140.00000112935,1.067100887875876
Thailand,Southeast Asia,Asia,Non-NATO,2025,24,18652.00000516297,1.0823779012632646
United Kingdom,Western Europe,Europe,NATO,2025,5,39184.00000243942,1.9397693709510813
France,Western Europe,Europe,NATO,2025,6,112123.00000293969,1.740262569839067
Tanzania,,,Non-NATO,2025,91,1173.0000003261089,1.77999326825382
Italy,Western Europe,Europe,NATO,2025,9,74517.00000406792,1.2777618401955295
South Africa,Sub-Saharan Africa,Africa,Non-NATO,2025,39,19260.00000150556,0.4947190089846992
Kenya,Sub-Saharan Africa,Africa,Non-NATO,2025,82,4525.000000515053,1.0864123757392945
Myanmar,,,Non-NATO,2025,36,6952.000006814175,3.731356806516157
South Korea,East Asia,Asia,Non-NATO,2025,4,67108.0000064322,2.4688224516740003
Sudan,,Africa,Non-NATO,2025,72,3576.000000237778,0.5275084614494554
Colombia,South America,South America,Non-NATO,2025,45,4006.000009336869,2.5169634785862387
Uganda,,Africa,Non-NATO,2025,113,4198.0,1.8277965912526661
Spain,Western Europe,Europe,NATO,2025,16,18691.000004103178,1.3558199187441504
Algeria,North Africa,Africa,Non-NATO,2025,25,28576.000004444682,9.282559112995205
Argentina,South America,South America,Non-NATO,2025,32,22477.00000144698,0.1430256806862473
Iraq,Middle East,Asia,Non-NATO,2025,42,39314.00000228118,2.757051348022091
Afghanistan,,Asia,Non-NATO,2025,117,5211.0,1.4148323225469266
Canada,North America,North America,NATO,2025,27,22129.000002912762,1.827390222575119
Poland,Eastern Europe,Europe,NATO,2025,20,24231.000002477656,5.306357100165272
Morocco,North Africa,Africa,Non-NATO,2025,58,9193.000005964546,8.343139944351172
Angola,,Africa,Non-NATO,2025,55,6682.000001612814,0.7177328128140097
Saudi Arabia,Middle East,Asia,Non-NATO,2025,23,21264.000001641838,6.029982790835646
Uzbekistan,,Asia,Non-NATO,2025,57,3738.0,2.438562035084277
Ukraine,Eastern Europe,Europe,Non-NATO,2025,19,20973.00000350515,26.881470194826573
Ghana,Sub-Saharan Africa,Africa,Non-NATO,2025,109,1849.0000015900966,0.3748111802731096
Malaysia,Southeast Asia,Asia,Non-NATO,2025,41,13885.000005352264,1.1368292265262734
Mozambique,,Africa,Non-NATO,2025,88,976.0000019789538,1.8131185391718714
Peru,South America,South America,Non-NATO,2025,48,7346.0000031594855,1.182482786864553
Yemen,,,Non-NATO,2025,84,649.0000014623321,3.7506664765974147
Venezuela,,South America,Non-NATO,2025,49,9303.000001951981,3.416542156707261
Nepal,South Asia,Asia,Non-NATO,2025,125,1137.0,0.95329599299421
Cameroon,,Africa,Non-NATO,2025,92,517.0000032939241,1.0412508506922689
Ivory Coast,,Africa,Non-NATO,2025,101,682.0000002001217,0.7686562871427721
Madagascar,,Africa,Non-NATO,2025,129,178.00000033952728,0.6441261180891933
Australia,Oceania,Oceania,Non-NATO,2025,17,16082.000002801791,3.1701359278364962
Niger,,Africa,Non-NATO,2025,118,482.0,1.6924825186181227
North Korea,East Asia,Asia,Non-NATO,2025,33,24193.000014525453,31.57333333333333
Syria,,,Non-NATO,2025,63,12361.000001969376,1.2354573943934746
Taiwan,East Asia,Asia,Non-NATO,2025,21,22930.000007840554,2.1933333333333334
Burkina Faso,,Africa,Non-NATO,2025,128,524.0,0.35148518714210547
Mali,,Africa,Non-NATO,2025,103,633.0,2.427289177902693
Sri Lanka,South Asia,Asia,Non-NATO,2025,68,3415.0000151938298,1.2786573042119898
Zambia,,,Non-NATO,2025,108,566.0,1.3518136917252148
Kazakhstan,,Asia,Non-NATO,2025,56,8478.000002517274,0.7028605975029576
Chad,,Africa,Non-NATO,2025,83,3456.0,1.9537554260929804
Senegal,,Africa,Non-NATO,2025,124,1800.0000004244591,1.4177919943804953
Chile,South America,South America,Non-NATO,2025,46,9744.000009751053,1.4999192855760672
Ecuador,,South America,Non-NATO,2025,64,5466.000002457676,1.9057385354144456
Guatemala,,North America,Non-NATO,2025,102,779.0000024650489,0.3609863179872625
Romania,Eastern Europe,Europe,NATO,2025,50,11962.000002093877,2.5355220232024687
Netherlands,Western Europe,Europe,NATO,2025,35,2893.0000045576344,2.2223544686420893
Zimbabwe,,,Non-NATO,2025,110,938.0,1.0400571430801844
Cambodia,Southeast Asia,Asia,Non-NATO,2025,94,4726.000002344162,1.8553417225753248
Benin,,Africa,Non-NATO,2025,143,113.00000027216342,0.45781143766112026
Somalia,,Africa,Non-NATO,2025,141,682.0000015364201,0.6404582397003745
South Sudan,,Africa,Non-NATO,2025,112,2000.0,0.9513488440935374
Bolivia,,South America,Non-NATO,2025,79,1114.000009502944,1.0025267710069905
Tunisia,North Africa,Africa,Non-NATO,2025,89,8242.00000904651,2.7273283901036907
Belgium,Western Europe,Europe,NATO,2025,60,4714.000001502801,1.5192812844948929
Jordan,Middle East,Asia,Non-NATO,2025,74,18436.000004832636,4.685834515817972
Cuba,,North America,Non-NATO,2025,66,7138.00000282691,4.2
Czechia,,,NATO,2025,52,6482.0,1.94505402237449
Dominican Republic,,North America,Non-NATO,2025,123,635.0000044379285,0.6523860233085359
Azerbaijan,,Asia,Non-NATO,2025,59,8943.00000591536,6.344576171115459
Portugal,Western Europe,Europe,NATO,2025,38,11092.000020959187,1.476995082948037
Sweden,,Europe,Non-NATO,2025,26,7074.00004778167,2.057960620421707
Greece,,Europe,NATO,2025,29,64488.00002494959,1.8512115776467977
Tajikistan,,Asia,Non-NATO,2025,107,1316.0,3.139833347892008
United Arab Emirates,Middle East,Asia,Non-NATO,2025,53,9711.00002272679,0.4005542018758017
Hungary,Eastern Europe,Europe,NATO,2025,54,8370.0,2.0545724348009924
Honduras,,North America,Non-NATO,2025,100,697.0000200436805,1.1151125282146692
Belarus,,,Non-NATO,2025,69,7823.0,1.367666571067224
Israel,Middle East,Asia,Non-NATO,2025,14,38067.0000127624,5.644177142775492
Sierra Leone,,,Non-NATO,2025,139,151.00000153491118,2.974185169156606
Austria,Western Europe,Europe,Non-NATO,2025,67,7463.0,1.0239052007522091
Switzerland,Western Europe,Europe,Non-NATO,2025,43,7347.0,2.6734953196132025
Laos,Southeast Asia,Asia,Non-NATO,2025,105,4660.000009052555,0.818036554720889
Paraguay,,South America,Non-NATO,2025,86,1172.0000179460446,39.57657371530006
Libya,North Africa,Africa,Non-NATO,2025,75,2030.00000108677,3.3066446719289577
Bulgaria,Eastern Europe,Europe,NATO,2025,61,5093.000007814045,1.2115681510838905
Nicaragua,,North America,Non-NATO,2025,130,1975.0000068893753,0.4671477585381811
Serbia,Eastern Europe,Europe,Non-NATO,2025,62,4205.00000481043,2.538865393219746
El Salvador,,North America,Non-NATO,2025,127,1972.0000036206184,0.9461908058145689
Eritrea,,Africa,Non-NATO,2025,119,1020.0000064628443,9.588370173924547
Kyrgyzstan,,Asia,Non-NATO,2025,104,3077.0,1.269005038258957
Republic of the Congo,,,Non-NATO,2025,120,725.0000006559889,1.9491106546505437
Singapore,,,Non-NATO,2025,28,9487.00001393391,2.740293376277161
Denmark,,Europe,NATO,2025,44,4017.000012388802,1.702013068951366
Turkmenistan,,Asia,Non-NATO,2025,76,6211.000005570884,2.0978371907697473
Central African Republic,,Africa,Non-NATO,2025,142,234.0,1.67145540939065
Finland,,Europe,Non-NATO,2025,47,12734.000051542598,2.2697455543392575
Slovakia,,Europe,NATO,2025,70,3169.0,1.8845687452504398
Norway,,Europe,NATO,2025,37,6693.000014882754,1.6283813936099294
Liberia,,Africa,Non-NATO,2025,137,300.00000147133227,7.632915516995384
Lebanon,Middle East,Asia,Non-NATO,2025,114,5087.000023301411,1.3993243480627058
Ireland,,Europe,Non-NATO,2025,96,1734.0000030572503,0.24624175178327243
New Zealand,Oceania,Oceania,Non-NATO,2025,85,2193.0000027125416,1.1646124544936436
Georgia,,Asia,Non-NATO,2025,93,3697.0000110182473,1.449656073749591
Panama,,North America,Non-NATO,2025,135,300.0000127509904,1.0600555143384118
Mauritania,,Africa,Non-NATO,2025,122,752.0000027726177,2.3950211385180356
Croatia,,Europe,NATO,2025,73,3002.000009879242,1.2647362974696037
