Country,capital_city,region,continent,alliance,NATO_Status,year,power_index_rank,power_index_score,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,submarines,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,fit_for_service,population_reaching_military_age_annually,paramilitary,trainer_aircraft,special_mission_aircraft,tanker_aircraft,attack_helicopters,self_propelled_artillery,towed_artillery,rocket_projectors,helicopter_carriers,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,roadway_coverage_km,railway_coverage_km,total_serviceable_airports,waterway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,border_coverage_km
Afghanistan,Kabul,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,0,0,15647405,9,0,0,3,6,0,5202,0,0,0,0,290000000.0,54772700000.0,40121552,652230.0,0.0,8826741.0,842553.0,80000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142500000.0,8852092000.0,8921000.0,0.0,0.0,34903.0,0.0,67.0,1200.0,0.0,2700.0,0.0,80200000.0,80200000.0,49554000000.0,4885000.0,1545000.0,66000000.0,5987.0
Albania,Tirana,Europe,Europe,NATO,NATO,2025,48,3.5,6600,2000,1522479,19,0,0,0,19,46,1796,185,19,0,0,558862420.0,49592000000.0,3107100,28748.0,362.0,1292554.0,62142.0,500.0,0.0,0.0,0.0,0.0,0.0,50.0,135.0,0.0,0.0,0.0,0.0,19.0,0.0,7312000000.0,6455000000.0,1388000.0,67.0,3.0,3945.0,424.0,3.0,41.0,1400.0,2600.0,150000000.0,50623000.0,50623000.0,5692000000.0,379000.0,389000.0,522000000.0,691.0
Algeria,Alger,Africa,Africa,Neutral/Other,Non-NATO,2025,25,0.3911,325000,135000,22570787,608,102,42,63,299,1485,26000,973,110,0,6,25000000000.0,699947000000.0,47022473,2381740.0,998.0,19185169.0,752360.0,150000.0,87.0,10.0,5.0,74.0,224.0,483.0,266.0,0.0,0.0,8.0,8.0,75.0,2.0,3335624000.0,81217000000.0,13425000.0,119.0,17.0,104000.0,4020.0,85.0,0.0,1443000.0,428000.0,12200000000.0,100726000000.0,47963000000.0,4504000000000.0,0.0,167000.0,233000000.0,6734.0
Angola,Luanda,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,107000,0,7440412,298,71,12,31,116,309,5500,713,31,0,0,1101360000.0,265868000000.0,37202061,1246700.0,1600.0,3720206.0,372021.0,10000.0,66.0,2.0,0.0,15.0,25.0,575.0,113.0,0.0,0.0,0.0,0.0,29.0,0.0,45774500000.0,13942000000.0,15223000.0,64.0,21.0,26000.0,2761.0,106.0,1300.0,1175000.0,127000.0,7783000000.0,5514000000.0,1397000000.0,343002000000.0,0.0,0.0,0.0,5369.0
Argentina,Buenos Aires,South America,South America,Neutral/Other,Non-NATO,2025,27,0.4509,108000,0,20677529,239,23,11,52,94,342,21724,253,44,0,2,928897000.0,1235000000000.0,46994384,2780400.0,4989.0,17575900.0,704916.0,20000.0,71.0,13.0,2.0,0.0,55.0,172.0,26.0,0.0,3.0,0.0,6.0,13.0,0.0,178940000000.0,23081000000.0,21906000.0,201.0,37.0,281290.0,17866.0,756.0,11000.0,807000.0,706000.0,2483000000.0,43280000000.0,46228000000.0,396464000000.0,1318000.0,3391000.0,799999000.0,11968.0
Armenia,Yerevan,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,57500,210000,1666988,71,4,15,3,36,109,1306,393,0,0,0,1700000000.0,57728000000.0,2976765,29743.0,0.0,1366335.0,44651.0,5000.0,13.0,0.0,0.0,20.0,145.0,148.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9014000000.0,3607000000.0,1356000.0,0.0,0.0,7700.0,686.0,11.0,0.0,0.0,14000.0,0.0,0.0,2861000000.0,0.0,60.0,23000.0,317000000.0,1570.0
Australia,Canberra,Unknown,Unknown,Neutral/Other,Non-NATO,2025,15,0.2567,57350,32050,11242811,327,24,62,38,69,59,15648,48,44,0,6,55700000000.0,1584000000000.0,26768598,7741220.0,25760.0,9208398.0,294455.0,0.0,98.0,30.0,6.0,22.0,0.0,48.0,0.0,2.0,3.0,7.0,0.0,10.0,3.0,3427504300000.0,61703000000.0,14501000.0,604.0,66.0,873573.0,36064.0,2180.0,2000.0,386000.0,1123000.0,2446000000.0,153783000000.0,50188000000.0,3228000000000.0,465865000.0,107624000.0,150227000000.0,0.0
Austria,Wien,Europe,Europe,Neutral/Other,Non-NATO,2025,48,3.5,16000,125600,4035592,85,15,0,11,41,56,7322,30,0,0,0,5475750000.0,590354000000.0,8967982,83871.0,0.0,3632033.0,98648.0,0.0,18.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000000000.0,31212000000.0,4825000.0,1.0,0.0,137039.0,6123.0,61.0,358.0,18000.0,245000.0,35200000.0,618209000.0,8136000000.0,5040000000.0,1271000.0,5026000.0,0.0,2524.0
Azerbaijan,Baku,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,126400,300000,5218617,154,12,18,3,86,497,7642,1116,38,0,4,5000000000.0,215896000000.0,10650239,86600.0,713.0,3908638.0,159754.0,15000.0,35.0,0.0,0.0,16.0,198.0,650.0,268.0,0.0,0.0,0.0,0.0,17.0,4.0,16159500000.0,13749000000.0,5473000.0,312.0,0.0,24981.0,2944.0,32.0,0.0,618000.0,105000.0,7000000000.0,34175000000.0,11759000000.0,1699000000000.0,0.0,60000.0,0.0,2468.0
Bahrain,al-Manama,Middle East,Asia,Neutral/Other,Non-NATO,2025,48,3.5,18400,110000,846120,132,24,0,3,80,150,2764,81,64,0,0,1597200000.0,85491000000.0,1566888,760.0,161.0,720768.0,17236.0,1500.0,40.0,0.0,0.0,34.0,38.0,26.0,17.0,0.0,0.0,2.0,2.0,50.0,0.0,49500000000.0,5118000000.0,855000.0,184.0,4.0,4122.0,0.0,3.0,0.0,189000.0,72000.0,186500000.0,18005000000.0,17924000000.0,81382000000.0,0.0,0.0,0.0,0.0
Bangladesh,Dhaka,Asia,Asia,Neutral/Other,Non-NATO,2025,34,0.5871,163000,0,82661620,214,42,0,17,65,320,11584,712,118,0,2,4374000000.0,1413000000000.0,168697184,148460.0,580.0,66129296.0,3205246.0,6800000.0,86.0,4.0,0.0,0.0,56.0,546.0,110.0,0.0,0.0,7.0,6.0,61.0,5.0,51965000000.0,21860000000.0,74914000.0,558.0,2.0,369105.0,2460.0,17.0,8370.0,13000.0,160000.0,28000000.0,24620000000.0,30384000000.0,126293000000.0,754000.0,7514000.0,3260000000.0,4413.0
Belarus,Minsk,Europe,Europe,Neutral/Other,Non-NATO,2025,48,3.5,63000,145000,5035769,185,36,50,4,68,507,6916,778,0,0,0,1077900000.0,254407000000.0,9501451,207600.0,0.0,3724569.0,104516.0,55000.0,27.0,0.0,0.0,29.0,357.0,215.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,44000000000.0,8118000000.0,4956000.0,4.0,0.0,86600.0,5528.0,46.0,2500.0,30000.0,131000.0,198000000.0,73929000.0,16683000000.0,2832000000.0,0.0,778000.0,0.0,3599.0
Belgium,Bruxelles [Brussel],Europe,Europe,NATO,NATO,2025,48,3.5,25000,6400,4910830,108,43,0,7,20,0,4606,0,9,0,0,10200000000.0,751592000000.0,11977634,30528.0,67.0,3880753.0,119776.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1449264300000.0,40813000000.0,5432000.0,198.0,7.0,118414.0,3602.0,49.0,2043.0,11000.0,585000.0,0.0,13436000.0,15347000000.0,0.0,1270000.0,4869000.0,4100000000.0,1297.0
Beliz,Unknown,Unknown,Unknown,Neutral/Other,Non-NATO,2025,48,3.5,1650,850,158000,3,0,0,1,1,0,130,0,8,0,0,29538000.0,5257000000.0,415789,22966.0,386.0,90226.0,8732.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1248000000.0,473729000.0,190000.0,774.0,2.0,3281.0,0.0,27.0,825.0,800.0,5000.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0
Benin,Porto-Novo,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,4750,0,5584880,5,0,0,0,5,0,92,16,2,0,0,98350000.0,52510000000.0,14697052,112622.0,121.0,3189260.0,308638.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4066500000.0,698900000.0,4964000.0,6.0,1.0,16000.0,438.0,10.0,150.0,0.0,46000.0,8000000.0,0.0,182131000.0,1133000000.0,0.0,45000.0,0.0,2123.0
Bhutan,Thimphu,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,7500,0,203446,2,0,0,0,2,0,84,0,0,0,0,14000000.0,10981000000.0,884546,38394.0,0.0,122067.0,4423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757000000.0,976260000.0,430000.0,0.0,0.0,12205.0,0.0,4.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,177000.0,325000.0,0.0,1136.0
Bolivia,La Paz,South America,South America,Neutral/Other,Non-NATO,2025,48,3.5,40000,40000,5417269,64,0,0,15,33,54,890,106,67,0,0,550200000.0,119785000000.0,12311974,1098581.0,0.0,4112199.0,233928.0,0.0,19.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,11431000000.0,1800000000.0,6114000.0,50.0,0.0,90568.0,3690.0,200.0,10000.0,58000.0,87000.0,240900000.0,13760000000.0,3055000000.0,302990000000.0,0.0,9000.0,1000000.0,7252.0
Bosnia and Herzegovina,Sarajevo,Europe,Europe,Neutral/Other,Non-NATO,2025,48,3.5,12770,6000,2355176,22,0,0,0,22,45,720,536,0,0,0,216400000.0,63769000000.0,3798671,51197.0,20.0,1956316.0,49383.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,7760500000.0,9205000000.0,1369000.0,0.0,1.0,22926.0,965.0,13.0,990.0,0.0,36000.0,0.0,0.0,225824000.0,0.0,14114000.0,14766000.0,2264000000.0,1543.0
Botswana,Gaborone,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,21000,0,1029281,45,11,0,9,16,45,1224,68,0,0,0,465600000.0,46742000000.0,2450668,581730.0,0.0,617568.0,24507.0,0.0,9.0,0.0,0.0,0.0,12.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1853500000.0,4756000000.0,1170000.0,0.0,0.0,31747.0,888.0,122.0,0.0,0.0,21000.0,0.0,0.0,0.0,0.0,2634000.0,2291000.0,1660000000.0,4347.0
Brazil,Brasília,South America,South America,Neutral/Other,Non-NATO,2025,11,0.2151,360000,340000,112226271,513,43,38,109,191,294,22464,559,64,0,4,26157300000.0,4016000000000.0,220051512,8515770.0,7491.0,88680759.0,3520824.0,200000.0,133.0,25.0,0.0,0.0,109.0,412.0,38.0,1.0,0.0,6.0,2.0,23.0,3.0,432224000000.0,355021000000.0,108695000.0,888.0,45.0,2000000.0,29850.0,4919.0,50000.0,4221000.0,3027000.0,12715000000.0,22670000000.0,31654000000.0,363985000000.0,15644000.0,32787000.0,6596000000.0,16145.0
Bulgaria,Sofia,Europe,Europe,NATO,NATO,2025,48,3.5,37000,3000,3187850,65,10,5,6,27,90,4914,96,36,0,0,1373232000.0,214061000000.0,6782659,110880.0,354.0,2611324.0,61044.0,0.0,21.0,0.0,0.0,4.0,48.0,24.0,24.0,0.0,0.0,4.0,3.0,0.0,10.0,27138500000.0,46334000000.0,3103000.0,78.0,2.0,19512.0,4029.0,111.0,470.0,4000.0,101000.0,15000000.0,20837000.0,2801000000.0,5663000000.0,35516000.0,35970000.0,2366000000.0,1806.0
Burkina Faso,Ouagadougou,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,12000,0,8525614,25,0,3,2,18,0,491,17,0,0,0,81280000.0,57152000000.0,23042199,274200.0,0.0,6060098.0,368675.0,4500.0,0.0,2.0,0.0,5.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3145000000.0,47138000.0,8577000.0,0.0,0.0,15304.0,622.0,49.0,0.0,0.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3611.0
Cambodia,Phnom Penh,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,221000,0,8190561,25,0,0,4,21,644,3627,923,20,0,0,860000000.0,85900000000.0,17063669,181035.0,443.0,5733393.0,307146.0,10000.0,0.0,0.0,0.0,0.0,30.0,430.0,463.0,0.0,0.0,0.0,0.0,20.0,0.0,13200000000.0,17801000000.0,9175000.0,195.0,2.0,47263.0,642.0,13.0,3700.0,0.0,73000.0,0.0,0.0,0.0,0.0,113000.0,2215000.0,0.0,2530.0
Cameroon,Yaounde,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,40000,0,10528476,35,0,0,6,21,0,430,90,51,0,0,554952283.0,138925000000.0,30966105,475440.0,400.0,6224187.0,495458.0,12500.0,6.0,2.0,0.0,0.0,18.0,52.0,20.0,0.0,0.0,0.0,0.0,51.0,0.0,9506000000.0,5754093000.0,11965000.0,198.0,7.0,77589.0,987.0,37.0,0.0,54000.0,40000.0,200000000.0,2595000000.0,877058000.0,135071000000.0,0.0,0.0,0.0,5018.0
Canada,Ottawa,North America,North America,NATO,NATO,2025,26,0.4376,68000,27000,16681770,351,66,0,28,145,74,21704,0,73,0,4,41000000000.0,2238000000000.0,38794813,9984670.0,202080.0,13500595.0,426743.0,5500.0,95.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,24.0,0.0,2337375700000.0,117551000000.0,22110000.0,716.0,284.0,1042300.0,4942.0,1425.0,636.0,5692000.0,2454000.0,170300000000.0,187686000000.0,130316000000.0,2067126000000.0,43024000.0,17138000.0,6582000000.0,8893.0
Central African Republic,Bangui,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,10000,0,2203873,6,0,6,0,0,0,228,0,0,0,0,45990000.0,5849000000.0,5650957,622984.0,0.0,1254512.0,101717.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666293000.0,374405000.0,2114000.0,0.0,0.0,24000.0,0.0,43.0,2800.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,5920.0
