country,capital_city,region,continent,alliance,year,population,defense_budget_usd,gdp_usd,land_area_sq_km,coastline_km,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,Power_index_score,power_index_rank
United States,"Washington, D.C.",North America,North America,NATO,2025,341963408,895000000000,24662000000000,9833517,19924,1328000,799500,2127500,13043,1790,889,918,5843,4640,391963,671,440,11,0.0744,1
Russia,Moscow,Europe,Europe,Non-NATO,2025,140820810,126000000000,5816000000000,17098242,37653,1320000,2000000,3320000,4292,833,689,456,1651,5750,131527,5168,419,1,0.0788,2
China,Beijing,Asia,Asia,Non-NATO,2025,1415043270,266850000000,31227000000000,9596960,14500,2035000,510000,2545000,3309,1212,371,289,913,6800,144017,3490,754,3,0.0788,3
India,New Delhi,Asia,Asia,Non-NATO,2025,1409128296,75000000000,13104000000000,3287263,7000,1455550,1155000,2610550,2229,513,130,270,899,4201,148594,100,293,2,0.1184,4
South Korea,Seoul,Asia,Asia,Others,2025,52081799,46300000000,2615000000000,99720,2413,600000,3100000,3700000,1592,315,98,41,807,2236,58880,3270,227,0,0.1656,5
United Kingdom,London,Europe,Europe,NATO,2025,68459055,71500540000,3700000000000,243610,12429,184860,924000,1108860,631,113,31,29,266,227,38200,71,109,2,0.1785,6
France,Paris,Europe,Europe,NATO,2025,68374591,55000000000,3764000000000,643801,4853,200000,26000,226000,976,226,0,119,448,215,110932,96,129,1,0.1878,7
Japan,Tokyo,Asia,Asia,Non-NATO,2025,123201945,57000000000,5761000000000,377915,29751,247150,56000,303150,1443,217,38,55,596,521,31964,149,159,0,0.1839,8
Turkiye,Ankara,Unknown,Unknown,NATO,2025,84119531,47000000000,2936000000000,783562,7200,355200,378700,733900,1083,201,0,84,508,2238,61173,1038,182,0,0.1902,9
Italy,Rome,Europe,Europe,NATO,2025,60964931,30890000000,3097000000000,301340,7600,165500,18500,184000,729,89,67,30,392,200,73480,64,196,2,0.2164,10
Brazil,Brasília,South America,South America,Non-NATO,2025,220051512,26157300000,4016000000000,8515770,7491,360000,340000,700000,513,43,38,109,191,294,22464,109,64,0,0.2415,11
Pakistan,Islamabad,Asia,Asia,Others,2025,252363571,7640000000,1347000000000,796095,1046,654000,550000,1204000,1399,328,90,64,373,2627,17516,662,121,0,0.2513,12
Indonesia,Jakarta,Asia,Asia,Others,2025,281562465,10600000000,3906000000000,1904569,54716,400000,400000,800000,459,41,34,70,214,331,20440,153,331,0,0.2557,13
Germany,Berlin,Europe,Europe,NATO,2025,84119100,50000000000,5230000000000,357022,2389,181600,34000,215600,584,129,63,50,309,296,83260,134,61,0,0.2601,14
Israel,Jerusalem,Asia,Asia,Others,2025,9402617,30500000000,471030000000,21937,273,170000,465000,635000,611,240,38,13,147,1300,35985,352,62,0,0.2661,15
Iran,Tehran,Asia,Asia,Others,2025,88386937,15450000000,1440000000000,1648195,2440,610000,350000,960000,551,188,21,87,128,1713,65825,392,107,0,0.3048,16
Spain,Madrid,Europe,Europe,NATO,2025,47280433,23397000000,2242000000000,505370,4964,133282,15150,148432,461,137,12,51,153,317,17626,95,152,1,0.3242,17
Australia,Canberra,Oceania,Oceania,Others,2025,26768598,55700000000,1584000000000,7741220,25760,57350,32050,89400,327,24,62,38,69,59,15648,0,44,0,0.3298,18
Egypt,Cairo,Africa,Africa,Others,2025,111247248,5879500000,1912000000000,1001450,2450,440000,480000,920000,1093,238,90,61,348,3620,41012,1056,150,0,0.3427,19
Ukraine,Kiev,Europe,Europe,Others,2025,35661826,53700000000,559981000000,603550,2782,900000,1200000,2100000,324,70,36,24,136,1114,18920,658,89,0,0.3755,20
Poland,Warsaw,Europe,Europe,NATO,2025,38746310,48700000000,1616000000000,312685,440,202100,350000,552100,479,59,44,49,216,614,23138,677,62,0,0.3776,21
Taiwan,Taipei,Asia,Asia,Others,2025,23595274,19740000000,1257300000000,35980,1566,215000,2310000,2525000,761,285,0,19,236,888,19921,488,97,0,0.3988,22
Vietnam,Hanoi,Asia,Asia,Others,2025,105758975,8594000000,1354000000000,331210,3444,600000,5000000,5600000,246,41,32,9,101,1374,11912,40,110,0,0.4024,23
Saudi Arabia,Riyadh,Asia,Asia,Others,2025,36544431,74760000000,1831000000000,2149690,2640,257000,0,257000,917,283,81,49,264,840,19040,332,32,0,0.4201,24
Thailand,Bangkok,Asia,Asia,Others,2025,69920998,5887883500,1516000000000,513120,3219,360850,200000,560850,493,72,20,54,258,635,16935,50,293,0,0.4536,25
Algeria,Algiers,Africa,Africa,Others,2025,47022473,25000000000,699947000000,2381740,998,325000,135000,460000,608,102,42,63,299,1485,26000,224,110,0,0.3589,26
Sweden,Stockholm,Europe,Europe,Others,2025,10589835,13000000000,676353000000,450295,3218,24400,32900,57300,169,71,0,6,53,110,6795,26,308,0,0.4835,27
Canada,Ottawa,North America,North America,NATO,2025,38794813,41000000000,2238000000000,9984670,202080,68000,27000,95000,351,66,0,28,145,74,21704,0,73,0,0.5179,28
Singapore,Singapore,Asia,Asia,Others,2025,6028459,15000000000,754758000000,719,193,51000,252500,303500,230,100,0,9,70,170,8998,48,50,0,0.5271,29
Greece,Athens,Europe,Europe,NATO,2025,10461091,6500000000,375780000000,131957,13676,142700,221350,364050,558,178,0,15,293,1344,61888,589,192,0,0.5337,30
Nigeria,Abuja,Africa,Africa,Others,2025,236747130,3160000000,1275000000000,923768,853,230000,0,230000,163,14,24,23,66,330,8962,40,133,0,0.5771,31
Mexico,Mexico City,North America,North America,Non-NATO,2025,130739927,7600000000,2873000000000,1964375,9330,412000,98655,510655,433,3,33,41,178,0,19658,20,167,0,0.5965,32
Argentina,Buenos Aires,South America,South America,Others,2025,46994384,928897000,1235000000000,2780400,4989,108000,0,108000,239,23,11,52,94,342,21724,55,44,0,0.6013,33
North Korea,Pyongyang,Asia,Asia,Others,2025,26298666,4736000000,72000000000,120538,2495,1320000,560000,1880000,861,368,114,1,205,4344,18288,1300,207,0,0.6016,34
Bangladesh,Dhaka,Asia,Asia,Others,2025,168697184,4374000000,1413000000000,148460,580,163000,0,163000,214,42,0,17,65,320,11584,56,118,0,0.6062,35
Netherlands,Amsterdam,Europe,Europe,NATO,2025,17772378,27000000000,1240000000000,41543,451,41380,6765,48145,120,32,0,4,63,18,2755,46,64,0,0.6412,36
Myanmar,Unknown,Asia,Asia,Others,2025,57527139,2948000000,290507000000,676578,1930,150000,20000,170000,317,58,26,30,83,445,5980,95,232,0,0.6735,37
Norway,Oslo,Europe,Europe,NATO,2025,5509733,9710000000,499528000000,323802,25148,23250,0,23250,97,0,32,4,33,44,6552,42,43,0,0.6811,38
Portugal,Lisbon,Europe,Europe,Others,2025,10639726,4627000000,529901000000,92090,1793,24000,211700,235700,115,28,0,19,31,34,10828,24,194,0,0.6856,39
South Africa,Pretoria,Africa,Africa,Non-NATO,2025,60442647,2266800000,862981000000,1219090,2798,71235,29350,100585,182,2,0,12,87,252,18692,49,49,0,0.6889,40
Philippines,Manila,Asia,Asia,Others,2025,118277063,4380000000,1138000000000,300000,36289,150000,1200000,1350000,202,0,25,26,122,10,11878,12,113,0,0.6987,41
Malaysia,Kuala Lumpur,Asia,Asia,Others,2025,34564810,4800000000,1152000000000,329847,4675,113000,51600,164600,135,26,12,16,45,48,13506,0,100,0,0.7429,42
Iraq,Baghdad,Asia,Asia,Others,2025,42083436,7923000000,572939000000,438317,58,193000,0,193000,391,26,36,15,197,1025,37288,434,68,0,0.7738,43
Switzerland,Bern,Europe,Europe,Others,2025,8860574,25039000000,733779000000,41277,0,101584,49715,151299,146,43,0,16,40,205,6996,133,0,0,0.7869,44
Denmark,Copenhagen,Europe,Europe,Others,2025,5973136,7225466250,428385000000,43094,7314,20000,12000,32000,117,31,4,4,34,44,3856,19,50,0,0.8109,45
Colombia,Bogotá,South America,South America,Others,2025,49588357,10541500000,978024000000,1138910,3208,293200,35000,328200,436,16,24,86,257,0,3460,6,233,0,0.8353,46
Chile,Santiago,South America,South America,Others,2025,18664652,5032500000,579201000000,756102,6435,80000,40000,120000,277,45,0,32,87,386,8832,48,130,0,0.8361,47
Finland,Helsinki,Europe,Europe,Others,2025,5626414,6779661000,321126000000,338145,1250,24000,870000,894000,163,54,0,11,27,200,11704,107,264,0,0.8437,48
Peru,Lima,South America,South America,Others,2025,32600249,3420000000,517644000000,1285216,2414,120000,385000,505000,256,15,22,38,111,240,6560,12,71,0,0.8588,49
Venezuela,Caracas,South America,South America,Others,2025,31250306,4093120000,295974800000,912050,2800,109000,8000,117000,229,30,0,49,88,172,8802,48,34,0,0.8882,50
Romania,Bucharest,Europe,Europe,Others,2025,18148155,9700000000,772107000000,238391,225,81300,55000,136300,140,21,0,14,65,328,10774,0,20,0,0.8984,51
Ethiopia,Addis Ababa,Africa,Africa,Others,2025,118550298,2097575000,354604000000,1104300,0,162000,0,162000,103,25,0,8,33,338,7256,35,0,0,0.9305,52
Czechia,Unknown,Europe,Europe,Others,2025,10837890,6750000000,519007000000,78867,0,28000,4200,32200,99,12,16,10,42,43,6340,50,0,0,0.9994,53
United Arab Emirates,Abu Dhabi,Asia,Asia,Others,2025,10032213,2212360382,719733000000,83600,1318,65000,130000,195000,551,99,16,37,247,354,8707,165,181,0,1.0186,54
Hungary,Budapest,Europe,Europe,Others,2025,9855745,4576000000,388906000000,103000,0,41600,20000,61600,69,12,0,3,44,209,7797,24,0,0,1.0259,55
Angola,Luanda,Africa,Africa,Others,2025,37202061,1101360000,265868000000,1246700,1600,107000,0,107000,298,71,12,31,116,309,5500,25,31,0,1.0961,56
Kazakhstan,Astana,Asia,Asia,Others,2025,20260006,2048700000,705520000000,2724900,26,110000,135000,245000,198,63,25,19,65,350,7736,126,26,0,1.1016,57
Uzbekistan,Tashkent,Asia,Asia,Others,2025,36520593,2803500000,319174000000,447400,420,48000,0,48000,192,58,13,13,101,340,2970,147,0,0,1.1121,58
Morocco,Rabat,Africa,Africa,Others,2025,37387585,13400000000,337480000000,715550,1835,195800,150000,345800,260,83,0,31,78,903,7877,396,111,0,1.1273,59
Azerbaijan,Baku,Asia,Asia,Others,2025,10650239,5000000000,215896000000,86600,713,126400,300000,426400,154,12,18,3,86,497,7642,198,38,0,1.2531,60
Belgium,Brussels,Europe,Europe,Others,2025,11977634,10200000000,751592000000,30528,67,25000,6400,31400,108,43,0,7,20,0,4606,0,9,0,1.2564,61
Bulgaria,Sofia,Europe,Europe,Others,2025,6782659,1373232000,214061000000,110880,354,37000,3000,40000,65,10,5,6,27,90,4914,48,36,0,1.2563,62
Serbia,Belgrade,Europe,Europe,Others,2025,6652212,2287461000,162213000000,77474,0,25000,2000,27000,110,11,17,3,46,262,3683,90,20,0,1.2576,63
Syria,Damascus,Asia,Asia,Others,2025,23865423,291850000,55935900000,187437,193,170000,50000,220000,207,104,9,3,77,365,11148,90,27,0,1.2771,64
