country,capital_city,region,continent,alliance,year,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,power_index_rank,Power_index_score,assets_per_capita,budget_to_gdp_ratio,personnel_density,budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,total_assets
United States,"Washington, D.C.",North America,North America,NATO,2025,1328000,799500,2127500,13043,1790,889,918,5843,4640,391963,671,440,11,895000000000,24662000000000,341963408,9833517,19924,1,0.0744,5.3e-05,0.036291,0.006221,673945.783133,0,0.009822,0.000472,0.022084,2617.239094,18123
Russia,Moscow,Europe,Europe,Non-NATO,2025,1320000,2000000,3320000,4292,833,689,456,1651,5750,131527,5168,419,1,126000000000,5816000000000,140820810,17098242,37653,2,0.0788,7.4e-05,0.021664,0.023576,95454.545455,1,0.003252,0.000336,0.011128,894.754121,10461
China,Beijing,Asia,Asia,Non-NATO,2025,2035000,510000,2545000,3309,1212,371,289,913,6800,144017,3490,754,3,266850000000,31227000000000,1415043270,9596960,14500,3,0.0788,8e-06,0.008545,0.001799,131130.22113,2,0.001626,0.000709,0.052,188.580806,10863
India,New Delhi,Asia,Asia,Non-NATO,2025,1455550,1155000,2610550,2229,513,130,270,899,4201,148594,100,293,2,75000000000,13104000000000,1409128296,3287263,7000,4,0.1184,5e-06,0.005723,0.001853,51526.914225,3,0.001531,0.001278,0.041857,53.224394,6723
South Korea,Seoul,Asia,Asia,Non-NATO,2025,600000,3100000,3700000,1592,315,98,41,807,2236,58880,3270,227,0,46300000000,2615000000000,52081799,99720,2413,5,0.1656,7.8e-05,0.017706,0.071042,77166.666667,4,0.002653,0.022423,0.094074,888.986189,4055
United Kingdom,London,Europe,Europe,NATO,2025,184860,924000,1108860,631,113,31,29,266,227,38200,71,109,2,71500540000,3700000000000,68459055,243610,12429,6,0.1785,1.4e-05,0.019324,0.016197,386782.105377,5,0.003413,0.000932,0.00877,1044.427797,967
France,Paris,Europe,Europe,NATO,2025,200000,26000,226000,976,226,0,119,448,215,110932,96,129,1,55000000000,3764000000000,68374591,643801,4853,7,0.1878,1.9e-05,0.014612,0.003305,275000.0,6,0.00488,0.000334,0.026581,804.39238,1320
Japan,Tokyo,Asia,Asia,Non-NATO,2025,247150,56000,303150,1443,217,38,55,596,521,31964,149,159,0,57000000000,5761000000000,123201945,377915,29751,8,0.1839,1.7e-05,0.009894,0.002461,230629.172567,7,0.005839,0.001379,0.005344,462.655034,2123
Turkiye,Ankara,Asia,Asia,NATO,2025,355200,378700,733900,1083,201,0,84,508,2238,61173,1038,182,0,47000000000,2936000000000,84119531,783562,7200,9,0.1902,4.2e-05,0.016008,0.008724,132319.81982,8,0.003049,0.002856,0.025278,558.728745,3503
Italy,Rome,Europe,Europe,NATO,2025,165500,18500,184000,729,89,67,30,392,200,73480,64,196,2,30890000000,3097000000000,60964931,301340,7600,10,0.2164,1.8e-05,0.009974,0.003018,186646.52568,9,0.004405,0.000664,0.025789,506.684737,1125
Brazil,Brasilia,South America,South America,Non-NATO,2025,360000,340000,700000,513,43,38,109,191,294,22464,109,64,0,26157300000,4016000000000,220051512,8515770,7491,11,0.2415,4e-06,0.006513,0.003181,72659.166667,10,0.001425,3.5e-05,0.008544,118.868986,871
Pakistan,Islamabad,Asia,Asia,Non-NATO,2025,654000,550000,1204000,1399,328,90,64,373,2627,17516,662,121,0,7640000000,1347000000000,252363571,796095,1046,12,0.2513,1.6e-05,0.005672,0.004771,11681.957187,11,0.002139,0.0033,0.115679,30.273783,4147
Indonesia,Other,Asia,Asia,Non-NATO,2025,400000,400000,800000,459,41,34,70,214,331,20440,153,331,0,10600000000,3906000000000,281562465,1904569,54716,13,0.2557,4e-06,0.002714,0.002841,26500.0,12,0.001148,0.000174,0.006049,37.647064,1121
Germany,Berlin,Europe,Europe,NATO,2025,181600,34000,215600,584,129,63,50,309,296,83260,134,61,0,50000000000,5230000000000,84119100,357022,2389,14,0.2601,1.1e-05,0.00956,0.002563,275330.396476,13,0.003216,0.000829,0.025534,594.395328,941
Israel,Jerusalem,Asia,Asia,Non-NATO,2025,170000,465000,635000,611,240,38,13,147,1300,35985,352,62,0,30500000000,471030000000,9402617,21937,273,15,0.2661,0.00021,0.064752,0.067534,179411.764706,14,0.003594,0.059261,0.227106,3243.77777,1973
Iran,Other,Asia,Asia,Non-NATO,2025,610000,350000,960000,551,188,21,87,128,1713,65825,392,107,0,15450000000,1440000000000,88386937,1648195,2440,16,0.3048,2.7e-05,0.010729,0.010861,25327.868852,15,0.000903,0.001039,0.043852,174.799586,2371
Spain,Other,Europe,Europe,NATO,2025,133282,15150,148432,461,137,12,51,153,317,17626,95,152,1,23397000000,2242000000000,47280433,505370,4964,17,0.3242,2e-05,0.010436,0.003139,175545.084858,16,0.003459,0.000627,0.03062,494.855874,930
Australia,Canberra,Oceania,Oceania,Non-NATO,2025,57350,32050,89400,327,24,62,38,69,59,15648,0,44,0,55700000000,1584000000000,26768598,7741220,25760,18,0.3298,1.6e-05,0.035164,0.00334,971229.29381,17,0.005702,8e-06,0.001708,2080.796312,430
Egypt,Cairo,Africa,Africa,Non-NATO,2025,440000,480000,920000,1093,238,90,61,348,3620,41012,1056,150,0,5879500000,1912000000000,111247248,1001450,2450,19,0.3427,4.4e-05,0.003075,0.00827,13362.5,18,0.002484,0.003615,0.061224,52.850746,4863
Ukraine,Kyiv,Europe,Europe,Non-NATO,2025,900000,1200000,2100000,324,70,36,24,136,1114,18920,658,89,0,53700000000,559981000000,35661826,603550,2782,20,0.3755,4.3e-05,0.095896,0.058886,59666.666667,19,0.00036,0.001846,0.031991,1505.811845,1527
Poland,Warsaw,Europe,Europe,NATO,2025,202100,350000,552100,479,59,44,49,216,614,23138,677,62,0,48700000000,1616000000000,38746310,312685,440,21,0.3776,3e-05,0.030136,0.014249,240969.816922,20,0.00237,0.001964,0.140909,1256.893882,1155
Taiwan,Other,Asia,Asia,Non-NATO,2025,215000,2310000,2525000,761,285,0,19,236,888,19921,488,97,0,19740000000,1257300000000,23595274,35980,1566,22,0.3988,7.4e-05,0.0157,0.107013,91813.953488,21,0.00354,0.02468,0.061941,836.608212,1746
Vietnam,Hanoi,Asia,Asia,Non-NATO,2025,600000,5000000,5600000,246,41,32,9,101,1374,11912,40,110,0,8594000000,1354000000000,105758975,331210,3444,23,0.4024,1.6e-05,0.006347,0.052951,14323.333333,22,0.00041,0.004148,0.03194,81.260243,1730
Saudi Arabia,Other,Asia,Asia,Non-NATO,2025,257000,0,257000,917,283,81,49,264,840,19040,332,32,0,74760000000,1831000000000,36544431,2149690,2640,24,0.4201,4.9e-05,0.04083,0.007033,290894.941634,23,0.003568,0.000391,0.012121,2045.728937,1789
Thailand,Other,Asia,Asia,Non-NATO,2025,360850,200000,560850,493,72,20,54,258,635,16935,50,293,0,5887883500,1516000000000,69920998,513120,3219,25,0.4536,2e-05,0.003884,0.008021,16316.706388,24,0.001366,0.001238,0.091022,84.207658,1421
Algeria,Other,Africa,Africa,Non-NATO,2025,325000,135000,460000,608,102,42,63,299,1485,26000,224,110,0,25000000000,699947000000,47022473,2381740,998,26,0.3589,4.7e-05,0.035717,0.009783,76923.076923,25,0.001871,0.000623,0.11022,531.660681,2203
Sweden,Other,Europe,Europe,Non-NATO,2025,24400,32900,57300,169,71,0,6,53,110,6795,26,308,0,13000000000,676353000000,10589835,450295,3218,27,0.4835,5.5e-05,0.019221,0.005411,532786.885246,26,0.006926,0.000244,0.095712,1227.592309,587
Canada,Ottawa,North America,North America,NATO,2025,68000,27000,95000,351,66,0,28,145,74,21704,0,73,0,41000000000,2238000000000,38794813,9984670,202080,28,0.5179,1.3e-05,0.01832,0.002449,602941.176471,27,0.005162,7e-06,0.000361,1056.842315,498
Singapore,Other,Asia,Asia,Non-NATO,2025,51000,252500,303500,230,100,0,9,70,170,8998,48,50,0,15000000000,754758000000,6028459,719,193,29,0.5271,7.5e-05,0.019874,0.050345,294117.647059,28,0.00451,0.236439,0.259067,2488.198062,450
Greece,Other,Europe,Europe,NATO,2025,142700,221350,364050,558,178,0,15,293,1344,61888,589,192,0,6500000000,375780000000,10461091,131957,13676,30,0.5337,0.0002,0.017297,0.0348,45550.105116,29,0.00391,0.010185,0.014039,621.350106,2094
Nigeria,Other,Africa,Africa,Non-NATO,2025,230000,0,230000,163,14,24,23,66,330,8962,40,133,0,3160000000,1275000000000,236747130,923768,853,31,0.5771,3e-06,0.002478,0.000972,13739.130435,30,0.000709,0.000357,0.15592,13.347575,626
Mexico,Other,North America,North America,Non-NATO,2025,412000,98655,510655,433,3,33,41,178,0,19658,20,167,0,7600000000,2873000000000,130739927,1964375,9330,32,0.5965,5e-06,0.002645,0.003906,18446.601942,31,0.001051,0.0,0.017899,58.130673,600
Argentina,Other,South America,South America,Non-NATO,2025,108000,0,108000,239,23,11,52,94,342,21724,55,44,0,928897000,1235000000000,46994384,2780400,4989,33,0.6013,1.3e-05,0.000752,0.002298,8600.898148,32,0.002213,0.000123,0.008819,19.766128,625
North Korea,Other,Asia,Asia,Non-NATO,2025,1320000,560000,1880000,861,368,114,1,205,4344,18288,1300,207,0,4736000000,72000000000,26298666,120538,2495,34,0.6016,0.000206,0.065778,0.071487,3587.878788,33,0.000652,0.036038,0.082966,180.08518,5412
Bangladesh,Other,Other,Other,Non-NATO,2025,163000,0,163000,214,42,0,17,65,320,11584,56,118,0,4374000000,1413000000000,168697184,148460,580,35,0.6062,4e-06,0.003096,0.000966,26834.355828,34,0.001313,0.002155,0.203448,25.928115,652
