,country,population,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_personnel,reserve_personnel,manpower_paramilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,helicopters,aircraft_helicopters_attack,tanks,armored_vehicles,armor_self_propelled_guns_total,artillery_units,armor_mlrs_total,navy_ships,navy_force_by_tonnage,aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_budget_usd,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,land_area_sq_km,coastline_km,border_coverage,waterway_coverage,capital_city,captal population,power_index_rank,year,alliance,continent,region,gdp_usd,power_index_rank_gap,naval_assets,total_military_assets,assets_per_capita,budget_to_gdp_ratio,budget_to_gdp_percent
0,China,1415043270,764123366,626864169,19810606,2035000,510000,625000,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,2857143,3,4,61,50,47,72,150,36,266850000000,1218458500000,31227000000000,3450000000000,531,779246000,66,150000,5200000,4984000,15148000,26023000000,225341000000,366160000000,6654000000000,4827000000,5313000000,143197000000,9596960,14500,22457,27700,Tokyo,37274000,3,2025,Non-NATO,Asia,East Asia,18743803170827.2,2,1177,155126,155126.0000008318,0.01423670519627119,1.423670519627119
1,India,1409128296,662290299,522786598,23955181,1455550,1155000,2527000,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,593603,2,0,18,13,14,18,135,0,75000000000,371020500000,13104000000000,627793000000,311,593729000,56,65554,6371847,795000,5049000,4605000000,33170000000,58867000000,1381000000000,985671000,1200000000,111052000000,3287263,7000,13888,14500,New Delhi,32066000,4,2025,Non-NATO,Asia,South Asia,3909891533858.08,3,493,158999,158999.00000034986,0.019182117803148838,1.9182117803148837
2,United States,341963408,150463900,124816644,4445524,1328000,799500,0,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,4168037,11,9,70,81,0,26,0,8,895000000000,22303546100000,24662000000000,773426000000,15873,170549000,666,293564,6586610,20879000,20245000,38212000000,1029000000000,914301000000,13402000000000,548849000,476044000,248941000000,9833517,19924,12002,41009,Dhaka,22478000,1,2025,NATO,North America,North America,28750956130731.2,0,645,410858,410858.00000188616,0.03112939952085128,3.112939952085128
3,Indonesia,281562465,137965608,114595923,4786562,400000,400000,250000,459,41,34,70,112,17,1,214,15,331,20440,153,396,63,331,304168,0,0,4,0,7,25,211,12,10600000000,440000000000,3906000000000,146359000000,513,140931000,123,8159,496607,865000,1728000,2480000000,57410000000,36061000000,1408000000000,659357000,202283000,34869000000,1904569,54716,2958,21579,Mexico City,22281000,13,2025,Non-NATO,Asia,Southeast Asia,1396300098190.97,12,590,21626,21626.00000209545,0.007591491265905686,0.7591491265905687
4,Pakistan,252363571,108516336,85803614,4794908,654000,550000,500000,1399,328,90,64,565,27,4,373,57,2627,17516,662,2629,600,121,111715,0,0,8,0,9,9,69,3,7640000000,92426000000,1347000000000,13730000000,116,80990000,3,11881,264175,101000,473000,540000000,36937000000,46448000000,592219000000,12712000,34027000,3064000000,796095,1046,7257,0,Cairo,21750000,12,2025,Non-NATO,Asia,South Asia,374890295666.694,11,219,24171,24171.000000867796,0.02037929519197942,2.037929519197942
5,Nigeria,236747130,125475979,90437404,4261448,230000,0,50000,163,14,24,23,28,11,0,66,15,330,8962,40,339,37,133,0,0,0,0,0,1,0,109,2,3160000000,32455500000,1275000000000,41349000000,47,75721000,28,3798,195000,1541000,515000,36890000000,39951000000,20719000000,5761000000000,3043000,3044000,2144000000,923768,853,4477,8600,Beijing,21333000,31,2025,Non-NATO,Africa,Sub-Saharan Africa,668219992691.462,30,245,9794,9794.00000103486,0.004728981524889918,0.4728981524889918
6,Brazil,220051512,112226271,88680759,3520824,360000,340000,200000,513,43,38,109,133,25,0,191,0,294,22464,109,412,38,64,135737,0,1,4,0,6,2,23,3,26157300000,432224000000,4016000000000,355021000000,4919,108695000,45,29850,2000000,4221000,3027000,12715000000,22670000000,31654000000,363985000000,15644000,32787000,6596000000,8515770,7491,16145,50000,Kinshasa,15628000,11,2025,Non-NATO,South America,South America,2616156606579.21,10,103,23683,23683.000000468073,0.009998369338524547,0.9998369338524546
7,Bangladesh,168697184,82661620,66129296,3205246,163000,0,6800000,214,42,0,17,86,4,0,65,0,320,11584,56,546,110,118,75280,0,0,2,0,7,6,61,5,4374000000,51965000000,1413000000000,21860000000,17,74914000,2,2460,369105,13000,160000,28000000,24620000000,30384000000,126293000000,754000,7514000,3260000000,148460,580,4413,8370,Buenos Aires,15370000,35,2025,Non-NATO,Asia,South Asia,460131689083.083,34,199,12664,12664.00000117963,0.009505974276008222,0.9505974276008222
8,Russia,140820810,69002197,46189226,1267387,1320000,2000000,250000,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1260447,1,0,63,10,12,83,123,47,126000000000,317650500000,5816000000000,597217000000,904,72408000,67,85494,1283387,10727000,3684000,80000000000,617830000000,472239000000,47805000000000,508190000,310958000,162166000000,17098242,37653,22407,102000,Manila,14667000,2,2025,Non-NATO,Europe,Eastern Europe,2380000000000.0,1,758,150074,150074.00000538272,0.052941176470588235,5.294117647058823
9,Mexico,130739927,61447766,49811912,2222579,412000,98655,120000,433,3,33,41,176,25,0,178,0,0,19658,20,70,0,167,0,0,0,0,5,1,3,140,0,7600000000,371359000000,2873000000000,214317000000,1485,60042000,35,23389,704884,2101000,1737000,5786000000,31422000000,90566000000,180322000000,7453000,18423000,1211000000,1964375,9330,4389,2900,Moscow,11920000,32,2025,Non-NATO,North America,North America,1856365616165.94,31,316,20161,20161.00000241701,0.004094021098977648,0.40940210989776477
10,Japan,123201945,52976836,42874277,1108818,247150,56000,25000,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,769882,0,4,24,42,6,0,6,22,57000000000,4679698100000,5761000000000,1295000000000,279,69349000,163,27311,1218772,8000,3289000,44115000,2220000000,92843000000,20898000000,29141000,216332000,350000000,377915,29751,0,1770,Bogota,11344000,8,2025,Non-NATO,Asia,East Asia,6272362996105.03,7,263,34408,34408.00000213471,0.009087484259982318,0.9087484259982318
11,Ethiopia,118550298,56904143,35327989,2726657,162000,0,0,103,25,0,8,34,0,0,33,7,338,7256,35,309,40,0,0,0,0,0,0,0,0,0,0,2097575000,25761000000,354604000000,3131288000,57,61664000,0,659,120171,0,110000,428000,0,0,24919000000,8000,660000,0,1104300,0,5925,0,Lima,11204000,52,2025,Non-NATO,Africa,Sub-Saharan Africa,149740297952.986,51,0,8006,8006.0,0.014008086191057107,1.4008086191057108
12,Philippines,118277063,50859137,41751803,2128987,150000,1200000,35000,202,0,25,26,23,8,0,122,2,10,11878,12,294,0,113,76313,0,0,0,0,2,1,58,0,4380000000,90200000000,1138000000000,103742000000,246,49477000,70,77,216387,10000,453000,138500000,2251000000,2251000000,98543000000,14483000,37130000,361000000,300000,36289,0,3219,Paris,11142000,41,2025,Non-NATO,Asia,Southeast Asia,461617509782.355,40,174,12384,12384.000001471122,0.00948837491468878,0.9488374914688781
13,Democratic Republic of the Congo,115403027,39237029,31389623,2538867,166580,31000,10000,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,0,0,0,0,0,0,0,16,0,796560000,4994000000,154012000000,3898125000,272,35983000,3,4007,152373,19000,26000,180000000,380000,380000,991090000,0,23000,987999000,2344858,37,10481,15000,Jakarta,11075000,66,2025,Non-NATO,,,164000000000.0,65,32,1127,1127.000000277289,0.004857073170731707,0.4857073170731707
14,Egypt,111247248,45611372,38269053,1668709,440000,480000,300000,1093,238,90,61,345,11,0,348,100,3620,41012,1056,962,528,150,235989,0,2,8,0,13,7,62,17,5879500000,103750000000,1912000000000,33070000000,73,33431000,31,5085,65050,667000,851000,3300000000,64817000000,60089000000,1784000000000,289000,3083000,182000000,1001450,2450,2612,3500,Bangkok,11070000,19,2025,Non-NATO,Africa,North Africa,389000000000.0,18,259,46687,46687.00000232815,0.01511439588688946,1.511439588688946
15,Vietnam,105758975,54994667,45053323,1797903,600000,5000000,250000,246,41,32,9,60,3,0,101,0,1374,11912,40,535,474,110,107813,0,0,9,0,9,16,35,8,8594000000,110000000000,1354000000000,97955500000,42,56149000,16,2600,195468,187000,494000,4400000000,7676000000,7676000000,699426000000,43614000,83116000,3360000000,331210,3444,4616,47130,Seoul,9988000,23,2025,Non-NATO,Asia,Southeast Asia,476000000000.0,22,187,14067,14067.000001768172,0.018054621848739495,1.8054621848739496
16,Iran,88386937,49496685,41541860,1414191,610000,350000,220000,551,188,21,87,103,10,6,128,13,1713,65825,392,2070,1517,107,223395,0,0,25,0,7,3,21,1,15450000000,4134926000,1440000000000,120600000000,173,29159000,18,8484,223485,3985000,2136000,208600000000,263280000000,244890000000,33987000000000,2791000,3531000,1203000000,1648195,2440,5894,850,London,9648000,16,2025,Non-NATO,Asia,Middle East,1490000000000.0,15,164,70159,70159.00000185547,0.010369127516778523,1.0369127516778522
17,Turkiye,84119531,42985080,36087279,1430032,355200,378700,150000,1083,201,0,84,287,28,7,508,111,2238,61173,1038,1707,296,182,325729,0,1,13,0,17,9,41,11,47000000000,294441000000,2936000000000,140858000000,115,35071000,54,11497,67333,83000,1077000,366000000,379701000,2887000000,3794000000,88746000,123976000,11525000000,783562,7200,2816,1200,Tehran,9382000,9,2025,Non-NATO,Asia,,1359123768774.12,8,274,66201,66201.00000325727,0.03458110370801055,3.4581103708010548
18,Germany,84119100,38694786,30955829,841191,181600,34000,0,584,129,63,50,35,26,3,309,54,296,83260,134,0,33,61,228552,0,0,6,0,11,5,0,12,50000000000,6238609300000,5230000000000,322700000000,838,44784000,35,39379,830000,131000,2052000,115200000,4824000000,77516000000,23390000000,138981000,186725000,35900000000,357022,2389,3694,7300,Luanda,8952000,14,2025,NATO,Europe,Western Europe,4685592577804.69,13,95,84140,84140.00000112935,0.010671008878758761,1.067100887875876
19,Thailand,69920998,36358919,27968399,1118736,360850,200000,25000,493,72,20,54,135,26,0,258,7,635,16935,50,589,26,293,130988,0,1,0,0,7,6,49,5,5887883500,102694000000,1516000000000,224470000000,108,40814000,21,4127,180053,386000,1248000,252750000,30797000000,48898000000,138243000000,13642000,36030000,1063000000,513120,3219,5673,4000,Kuala Lumpur,8420000,25,2025,Non-NATO,Asia,Southeast Asia,543976691793.886,24,361,18652,18652.00000516297,0.010823779012632645,1.0823779012632646
20,United Kingdom,68459055,31491165,25192932,753050,184860,924000,0,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,394043,2,0,9,6,8,0,26,7,71500540000,9593749000000,3700000000000,177915000000,1043,35275000,185,16390,394428,753000,1397000,2500000000,37758000000,70141000000,180661000000,1891000,8568000,26000000,243610,12429,443,3200,Dar es Salaam,7776000,6,2025,NATO,Europe,Western Europe,3686033044482.13,5,167,39184,39184.00000243942,0.019397693709510812,1.9397693709510813
21,France,68374591,30084820,23794358,752121,200000,26000,150000,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,428765,1,3,9,11,11,0,20,17,55000000000,6992104900000,3764000000000,240792000000,689,31825000,66,27860,1053215,80000,1554000,61719000,20132000,37001000000,7787000000,2419000,12985000,160000000,643801,4853,4072,8501,Riyadh,7682000,7,2025,NATO,Europe,Western Europe,3160442622465.08,6,201,112123,112123.00000293969,0.01740262569839067,1.740262569839067
