country,year,assets_per_capita,defense_budget_to_gdp,personnel_density,defense_budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,total_assets
United States,2025,7.49E-05,0.029248366,0.006221426,673945.7831,0,0.015466114,0.000471856,0.022083919,2617.239094,25619
Russia,2025,9.38E-05,0.049606299,0.023576061,95454.54545,1,0.005334091,0.000336292,0.011127931,894.7541205,13210
China,2025,9.37E-06,0.013762887,0.001798532,131203.9312,2,0.00280344,0.000708558,0.052,188.6868096,13259
India,2025,5.72E-06,0.018159806,0.001852599,51526.91422,3,0.002454742,0.001277963,0.041857143,53.22439427,8067
South Korea,2025,9.34E-05,0.024892473,0.071042093,77166.66667,4,0.004006667,0.022422784,0.094073767,888.9861888,4867
United Kingdom,2025,2.02E-05,0.018055692,0.016197419,386782.1054,5,0.005647517,0.000931817,0.008769813,1044.427797,1380
France,2025,2.73E-05,0.016369048,0.003305321,275000,6,0.00761,0.000333954,0.026581496,804.3923802,1866
Japan,2025,2.42E-05,0.013317757,0.002460594,230629.1726,7,0.00932632,0.001378617,0.005344358,462.6550336,2985
Turkiye,2025,4.89E-05,0.029936306,0.00872449,132319.8198,8,0.004757883,0.002856188,0.025277778,558.7287452,4110
Italy,2025,2.47E-05,0.012161417,0.003018129,186646.5257,9,0.006694864,0.000663702,0.025789474,506.6847365,1504
Brazil,2025,5.54E-06,0.011574027,0.003181073,72659.16667,10,0.002391667,3.45E-05,0.008543586,118.8689855,1219
Pakistan,2025,2.07E-05,0.018634146,0.004770895,11681.95719,11,0.003787462,0.003299857,0.115678776,30.27378306,5225
Indonesia,2025,4.96E-06,0.008030303,0.002841288,26500,12,0.001835,0.000173793,0.006049419,37.6470635,1396
Germany,2025,1.48E-05,0.00998004,0.002563033,275330.3965,13,0.004900881,0.000829081,0.025533696,594.3953276,1247
Israel,2025,0.000261204,0.053043478,0.06753439,179411.7647,14,0.006435294,0.05926061,0.227106227,3243.77777,2456
Iran,2025,3.15E-05,0.036785714,0.010861334,25327.86885,15,0.001583607,0.001039319,0.043852459,174.7995861,2786
Spain,2025,2.70E-05,0.012379365,0.003139396,175545.0849,16,0.006069837,0.000627263,0.030620467,494.8558741,1278
Australia,2025,2.57E-05,0.030437158,0.003339734,971229.2938,17,0.010200523,7.62E-06,0.001708075,2080.796312,688
Egypt,2025,5.04E-05,0.012509574,0.008269867,13362.5,18,0.004177273,0.003614759,0.06122449,52.85074558,5608
