Country,region,continent,alliance,metric,value
United States,Northern America,North America,NATO,Rank,1
Russia,Eastern Europe,Europe,Non-NATO,Rank,2
China,Asia-Pacific,Asia,Non-NATO,Rank,3
India,Asia-Pacific,Asia,Non-NATO,Rank,4
South Korea,Asia-Pacific,Asia,Non-NATO,Rank,5
United Kingdom,Northern Europe,Europe,NATO,Rank,6
France,Western Europe,Europe,NATO,Rank,7
Japan,Asia-Pacific,Asia,Non-NATO,Rank,8
Turkiye,Middle East,Asia,NATO,Rank,9
Italy,Southern Europe,Europe,NATO,Rank,10
Brazil,Latin America,South America,Non-NATO,Rank,11
Pakistan,Asia-Pacific,Asia,Non-NATO,Rank,12
Indonesia,Southeast Asia,Asia,Non-NATO,Rank,13
Germany,Central Europe,Europe,NATO,Rank,14
Israel,Middle East,Asia,Non-NATO,Rank,15
Iran,Middle East,Asia,Non-NATO,Rank,16
Spain,Southern Europe,Europe,NATO,Rank,17
Australia,Asia-Pacific,Oceania,Non-NATO,Rank,18
Egypt,Africa,Africa,Non-NATO,Rank,19
Ukraine,Eastern Europe,Europe,Non-NATO,Rank,20
Poland,Eastern Europe,Europe,NATO,Rank,21
Taiwan,Asia-Pacific,Asia,Non-NATO,Rank,22
Vietnam,Southeast Asia,Asia,Non-NATO,Rank,23
Saudi Arabia,Middle East,Asia,Non-NATO,Rank,24
Thailand,Southeast Asia,Asia,Non-NATO,Rank,25
Algeria,Africa,Africa,Non-NATO,Rank,26
Sweden,Scandinavia,Europe,NATO,Rank,27
Canada,Northern America,North America,NATO,Rank,28
Singapore,Southeast Asia,Asia,Non-NATO,Rank,29
Greece,Southern Europe,Europe,NATO,Rank,30
Nigeria,Africa,Africa,Non-NATO,Rank,31
Mexico,Mexico,North America,Non-NATO,Rank,32
Argentina,Latin America,South America,Non-NATO,Rank,33
North Korea,Asia-Pacific,Asia,Non-NATO,Rank,34
Bangladesh,Asia-Pacific,Asia,Non-NATO,Rank,35
Netherlands,Western Europe,Europe,NATO,Rank,36
Myanmar,Southeast Asia,Asia,Non-NATO,Rank,37
Norway,Scandinavia,Europe,NATO,Rank,38
Portugal,Southern Europe,Europe,NATO,Rank,39
South Africa,Africa,Africa,Non-NATO,Rank,40
Philippines,Southeast Asia,Asia,Non-NATO,Rank,41
Malaysia,Southeast Asia,Asia,Non-NATO,Rank,42
Iraq,Middle East,Asia,Non-NATO,Rank,43
Switzerland,Central Europe,Europe,Non-NATO,Rank,44
Denmark,Scandinavia,Europe,NATO,Rank,45
Colombia,Latin America,South America,Non-NATO,Rank,46
Chile,Latin America,South America,Non-NATO,Rank,47
Finland,Scandinavia,Europe,NATO,Rank,48
Peru,Latin America,South America,Non-NATO,Rank,49
Venezuela,Latin America,South America,Non-NATO,Rank,50
Romania,Eastern Europe,Europe,Non-NATO,Rank,51
Ethiopia,Africa,Africa,Non-NATO,Rank,52
Czechia,Eastern Europe,Europe,NATO,Rank,53
United Arab Emirates,Middle East,Asia,Non-NATO,Rank,54
Hungary,Eastern Europe,Europe,NATO,Rank,55
Angola,Africa,Africa,Non-NATO,Rank,56
Kazakhstan,Asia,Asia,Non-NATO,Rank,57
Uzbekistan,Asia,Asia,Non-NATO,Rank,58
Morocco,Africa,Africa,Non-NATO,Rank,59
Azerbaijan,Asia,Asia,Non-NATO,Rank,60
Belgium,Western Europe,Europe,NATO,Rank,61
Bulgaria,Eastern Europe,Europe,NATO,Rank,62
Serbia,Balkans,Europe,Non-NATO,Rank,63
Syria,Middle East,Asia,Non-NATO,Rank,64
Ecuador,Latin America,South America,Non-NATO,Rank,65
