Country,Rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,merchant_marine_strength_by_country,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage
United States,0.0,0.24146772200375707,0.1968224742811053,0.19904855433238838,0.18551484278135333,0.6525798525798526,0.1599,0.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.6823529411764705,1.0,0.1298374613003096,0.14250440917107585,0.21331114808652246,0.583554376657825,0.9999999999999999,1.0,1.0,1.0,1.0,0.0,0.3132530120481928,0.0,0.1702127659574468,1.0,1.0,0.7897298687007961,0.22417768316398518,1.0,0.2186736255160091,1.0,0.3093153563298897,1.0,1.0,1.0,1.0000000000000002,0.1257776344114336,1.0,1.0,0.2803472440121326,0.11370395690905324,0.08959984942593638,1.0,0.5751007324277323,0.09859461599366588,0.53444360333081,0.40204901960784317
Russia,0.006944444444444444,0.09928524475676301,0.0902027402405528,0.07360874837734142,0.05283463143230714,0.6486486486486487,0.39999999999999997,0.036764705882352935,0.3290653990646324,0.4653631284916201,0.7750281214848145,0.4967320261437909,0.23082735171892707,0.21792890262751158,0.03140495867768595,0.28256032859832275,0.5558882235528941,0.8455882352941175,0.33541730993495444,1.0,1.0,1.0,0.5557029177718833,0.3006981738385274,0.09090909090909091,0.0,0.9,0.12345679012345678,0.2553191489361702,1.0,0.5668202764976958,1.0,0.14076868241514393,0.0142141156605226,0.18611206299404873,0.1731023627628465,0.05677378701953371,0.09269936949333552,0.1006006006006006,0.25477149360882506,0.29122780722431907,0.19460185724322124,0.5137698165620959,0.18189003606184856,0.26332593826323375,0.6004178814382896,0.5165027709692979,1.0,0.10528071265796561,0.05852776209297948,0.6514234296479889,1.0,0.18632719714964371,0.9977735227323329,1.0
China,0.013888888888888888,1.0,1.0,0.9999999999999999,0.8269731333318944,1.0,0.102,0.09191176470588235,0.2536993023077513,0.6770949720670391,0.4173228346456693,0.3148148148148148,0.15187004155647904,0.1731066460587326,0.01652892561983471,0.15625534827999316,0.280439121756487,0.9999999999999999,0.3672893928993388,0.6753095975232198,0.11757789535567313,0.9151414309484194,1.0,0.6847180764467764,0.2727272727272727,0.4444444444444444,0.8714285714285714,0.6172839506172839,1.0,0.8674698795180723,0.6912442396313364,0.7659574468085106,0.29814544585054964,0.054603949898261624,1.0,1.0,0.0332703213610586,0.9999999999999999,0.0990990990990991,0.7278935387848013,0.5109618345573708,0.7894161496267502,0.23870875041908138,0.7482092575211184,0.08565663614280165,0.21899028182701652,0.40048080446155043,0.13919046124882334,1.0,1.0,0.5752246516242805,0.5612649855771505,0.07175376088677751,0.9999999999999999,0.2715686274509804
India,0.020833333333333332,0.9958188585385004,0.8667175602740129,0.8339577892470966,1.0,0.7152579852579852,0.23099999999999998,0.3716176470588235,0.1708962661964272,0.2865921787709497,0.14623172103487064,0.29411764705882354,0.1326029467321496,0.1143740340030912,0.009917355371900825,0.15385931884306006,0.07984031936127745,0.6177941176470587,0.3789690184980568,0.01934984520123839,0.46737213403880074,0.08785357737104825,0.3885941644562334,0.14031612995860598,0.18181818181818182,0.0,0.2571428571428571,0.16049382716049382,0.2978723404255319,0.21686746987951808,0.6221198156682027,0.0,0.08378455081978937,0.016607081820128166,0.4195391333533173,0.18196501448089278,0.019407687460617516,0.761869493335524,0.08408408408408408,0.16275608474873052,0.22330394735049258,0.9673840377195388,0.03807653623257819,0.24932075285283803,0.015157699321277394,0.03223517978620019,0.06438470481821633,0.02888819161175609,0.20419950279676818,0.2258610954263128,0.44609766972897197,0.19222339984569695,0.03463974663499604,0.6184263258672129,0.14215686274509803
South Korea,0.02777777777777778,0.03655794314147683,0.033973593396210686,0.03398664246665149,0.017318404711555928,0.29484029484029484,0.62,0.01764705882352941,0.12205780878632218,0.1759776536312849,0.11023622047244096,0.044662309368191724,0.12013600302228938,0.05564142194744977,0.006611570247933884,0.1381139825432141,0.11077844311377244,0.3288235294117647,0.1500361080843832,0.6327399380804954,0.5173427395649618,0.14176372712146423,0.3010610079575597,0.0804733796120925,0.0,0.2222222222222222,0.3142857142857143,0.16049382716049382,0.36170212765957444,0.060240963855421686,0.16129032258064516,0.2978723404255319,0.05171701009848199,0.022547977888735585,0.08358735769492433,0.12200443355630464,0.005419029615626968,0.03776493602513811,0.02252252252252252,0.1881456837681667,0.013554114264691856,0.014946394601462383,0.0018200105369031085,0.12102949167613496,0.0,5.357337220602526e-05,0.06505516235900431,0.00014808074469197782,0.0032307851667702507,0.025675324675324674,0.0013095472421176103,0.0057903709209807756,0.011940815518606493,0.01055350224874204,0.01568627450980392
United Kingdom,0.034722222222222224,0.048134599959781414,0.041107078007384744,0.04011189559838947,0.03136219589392904,0.09084029484029485,0.1848,0.0,0.04837844054281991,0.06312849162011172,0.03487064116985377,0.03159041394335512,0.07669059312429165,0.04327666151468315,0.01487603305785124,0.045524559301728565,0.036926147704590816,0.03338235294117647,0.09726471691517023,0.013738390092879258,0.014814814814814815,0.009650582362728786,0.1445623342175066,0.0923201358780157,0.18181818181818182,0.0,0.12857142857142856,0.07407407407407407,0.1702127659574468,0.0,0.11981566820276497,0.14893617021276595,0.07987447848346232,0.4301292552548836,0.11833878076569908,0.05156496118382244,0.0655324511657215,0.04503527345916083,0.2777777777777778,0.07599369637541586,0.05583109645596872,0.05959604519516605,0.03606494563915896,0.06891271056661562,0.008228935570726055,0.03669387755102041,0.07671543616380164,0.003779123522644075,0.00039175471307230164,0.0016126482213438735,0.00010444241808299959,0.01420620987028355,0.06150534441805226,0.01972658859153048,0.03137254901960784
France,0.04166666666666666,0.04807489455238586,0.03926640779859644,0.037880652914396296,0.03132341219255202,0.09828009828009829,0.0052,0.022058823529411763,0.0748294104117151,0.12625698324022344,0.0,0.12962962962962965,0.05326785039667548,0.06800618238021638,0.026446280991735537,0.07667294198185863,0.06786427145708582,0.03161764705882353,0.282862822452849,0.018575851393188854,0.0,0.0029950083194675544,0.17108753315649866,0.10067109251494823,0.09090909090909091,0.3333333333333333,0.12857142857142856,0.13580246913580246,0.23404255319148937,0.0,0.09216589861751152,0.36170212765957444,0.0614378325471013,0.31347832010146737,0.12038863429245446,0.06979026704710069,0.043226212980466285,0.04060683699246267,0.0990990990990991,0.0484153388198214,0.09490264473845567,0.15964573691514652,0.0038316011303223337,0.07666847799239243,0.00020315266979585656,1.9564625850340134e-05,0.04046916715611161,0.000162890910992574,0.0005011394240729231,0.0024440052700922263,0.000642722572818459,0.03761258282851849,0.024015241488519398,0.1813243086788084,0.08334313725490196
Japan,0.048611111111111105,0.08683092679085724,0.06922822504138194,0.068320178945863,0.04621472535733086,0.12144963144963146,0.0112,0.0036764705882352936,0.11063405658207469,0.12122905027932959,0.04274465691788527,0.059912854030501096,0.15149225538345296,0.21792890262751158,0.01652892561983471,0.10200239602943693,0.11876247504990019,0.07661764705882353,0.08135164170573059,0.028831269349845205,0.05643738977072311,0.017970049916805324,0.21087533156498672,0.18271283190555113,0.0,0.4444444444444444,0.34285714285714286,0.5185185185185185,0.1276595744680851,0.0,0.027649769585253454,0.46808510638297873,0.06367250437437011,0.2097965710388495,0.18435047011949332,0.3753592866172906,0.017391304347826087,0.08877282249286315,0.24474474474474475,0.45780073542286814,0.0930325244239757,0.1847888056339962,0.0003831601130322333,0.16237711801610433,0.00014520779708103196,0.0021574344023323616,0.1015453335389549,0.0004371509256353938,0.006037083074373317,0.040717485413137584,0.001405955628040379,0.022061441297666337,0.14722387173396675,0.0,0.01735294117647059
Turkiye,0.05555555555555555,0.05920458361658541,0.05615068887302939,0.05749240749167011,0.059624701518922546,0.17454545454545456,0.07574,0.022058823529411763,0.08303304454496666,0.11229050279329608,0.0,0.09150326797385622,0.10842463165848129,0.04327666151468315,0.011570247933884297,0.0869416395687147,0.11077844311377244,0.3291176470588235,0.15588740402011844,0.2008513931888545,0.20070546737213404,0.09850249584026623,0.24137931034482757,0.07588999787630472,0.0,0.1111111111111111,0.18571428571428572,0.0,0.36170212765957444,0.10843373493975904,0.1889400921658986,0.23404255319148937,0.05249914523802607,0.01317344216296882,0.09386865429005677,0.04082374962195559,0.007057340894770007,0.04477341808547781,0.08108108108108109,0.10243389949220802,0.03916352141270728,0.00992027151847387,0.003975286172709421,0.053104776959936775,0.0012047161675542944,0.00036899999999999997,0.003157603458817173,7.936408325488966e-05,0.018385332504661282,0.023334462638810463,0.04629611032332963,0.045786924807763085,0.035629453681710214,0.1253951997150109,0.011764705882352941
Italy,0.0625,0.04283719838641528,0.03579721475131111,0.0353230789388389,0.022830366060111566,0.08132678132678132,0.0036999999999999997,0.015441176470588234,0.055892049375143756,0.04972067039106145,0.07536557930258718,0.032679738562091505,0.06120136003022289,0.03554868624420402,0.013223140495867768,0.0670888242341263,0.036926147704590816,0.02941176470588235,0.18729250610520082,0.01238390092879257,0.012698412698412698,0.006988352745424293,0.259946949602122,0.08399226811376176,0.18181818181818182,0.0,0.11428571428571428,0.037037037037037035,0.2127659574468085,0.0,0.08755760368663594,0.2127659574468085,0.03449886366937584,0.12327405280405722,0.09902531706830077,0.0717044792379032,0.03988657844990548,0.03270496601014561,0.18468468468468469,0.11171423568551918,0.06293346595631617,0.07376122278079847,0.005555821638967383,0.06145334189596404,0.001638986721789563,0.0030291545189504374,0.07517764937367453,0.0009570128647631,0.0003351978454526621,0.00247073216638434,0.0024503757918542947,0.01758272236276565,0.03760886777513856,0.0817562452687358,0.023529411764705882
