Country,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage,Capital,Captal Population,power_index_rank
China,1415043270,764123366,626864169,19810606,2035000,510000,625000,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,2857143,3,4,61,50,47,72,150,36,$                        							266850000000,$                        							1218458500000,$                        							31227000000000,$                        							3450000000000,531,779246000,66,"150000                        						
							km","5200000                        						
							km","4984000                        						
							bbl","15148000                        						
							bbl","26023000000                        						
							bbl","225341000000                        						
							Cu.M","366160000000                        						
							Cu.M","6654000000000                        						
							Cu.M","4827000000                        						
							Cu.M","5313000000                        						
							mt","143197000000                        						
							Cu.M","9596960                        						
							km","14500                        						
							km","22457                        						
							km","27700                        						
							km",Tokyo,"37,274,000",3
India,1409128296,662290299,522786598,23955181,1455550,1155000,2527000,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,593603,2,0,18,13,14,18,135,0,$                        							75000000000,$                        							371020500000,$                        							13104000000000,$                        							627793000000,311,593729000,56,"65554                        						
							km","6371847                        						
							km","795000                        						
							bbl","5049000                        						
							bbl","4605000000                        						
							bbl","33170000000                        						
							Cu.M","58867000000                        						
							Cu.M","1381000000000                        						
							Cu.M","985671000                        						
							Cu.M","1200000000                        						
							mt","111052000000                        						
							Cu.M","3287263                        						
							km","7000                        						
							km","13888                        						
							km","14500                        						
							km",New Delhi,"32,066,000",4
United States,341963408,150463900,124816644,4445524,1328000,799500,0,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,4168037,11,9,70,81,0,26,0,8,$                        							895000000000,$                        							22303546100000,$                        							24662000000000,$                        							773426000000,15873,170549000,666,"293564                        						
							km","6586610                        						
							km","20879000                        						
							bbl","20245000                        						
							bbl","38212000000                        						
							bbl","1029000000000                        						
							Cu.M","914301000000                        						
							Cu.M","13402000000000                        						
							Cu.M","548849000                        						
							Cu.M","476044000                        						
							mt","248941000000                        						
							Cu.M","9833517                        						
							km","19924                        						
							km","12002                        						
							km","41009                        						
							km",Dhaka,"22,478,000",1
Indonesia,281562465,137965608,114595923,4786562,400000,400000,250000,459,41,34,70,112,17,1,214,15,331,20440,153,396,63,331,304168,0,0,4,0,7,25,211,12,$                        							10600000000,$                        							440000000000,$                        							3906000000000,$                        							146359000000,513,140931000,123,"8159                        						
							km","496607                        						
							km","865000                        						
							bbl","1728000                        						
							bbl","2480000000                        						
							bbl","57410000000                        						
							Cu.M","36061000000                        						
							Cu.M","1408000000000                        						
							Cu.M","659357000                        						
							Cu.M","202283000                        						
							mt","34869000000                        						
							Cu.M","1904569                        						
							km","54716                        						
							km","2958                        						
							km","21579                        						
							km",Mexico City,"22,281,000",13
Pakistan,252363571,108516336,85803614,4794908,654000,550000,500000,1399,328,90,64,565,27,4,373,57,2627,17516,662,2629,600,121,111715,0,0,8,0,9,9,69,3,$                        							7640000000,$                        							92426000000,$                        							1347000000000,$                        							13730000000,116,80990000,3,"11881                        						
							km","264175                        						
							km","101000                        						
							bbl","473000                        						
							bbl","540000000                        						
							bbl","36937000000                        						
							Cu.M","46448000000                        						
							Cu.M","592219000000                        						
							Cu.M","12712000                        						
							Cu.M","34027000                        						
							mt","3064000000                        						
							Cu.M","796095                        						
							km","1046                        						
							km","7257                        						
							km","0                        						
							km",Cairo,"21,750,000",12
Nigeria,236747130,125475979,90437404,4261448,230000,0,50000,163,14,24,23,28,11,0,66,15,330,8962,40,339,37,133,,0,0,0,0,1,0,109,2,$                        							3160000000,$                        							32455500000,$                        							1275000000000,$                        							41349000000,47,75721000,28,"3798                        						
							km","195000                        						
							km","1541000                        						
							bbl","515000                        						
							bbl","36890000000                        						
							bbl","39951000000                        						
							Cu.M","20719000000                        						
							Cu.M","5761000000000                        						
							Cu.M","3043000                        						
							Cu.M","3044000                        						
							mt","2144000000                        						
							Cu.M","923768                        						
							km","853                        						
							km","4477                        						
							km","8600                        						
							km",Beijing,"21,333,000",31
Brazil,220051512,112226271,88680759,3520824,360000,340000,200000,513,43,38,109,133,25,0,191,0,294,22464,109,412,38,64,135737,0,1,4,0,6,2,23,3,$                        							26157300000,$                        							432224000000,$                        							4016000000000,$                        							355021000000,4919,108695000,45,"29850                        						
							km","2000000                        						
							km","4221000                        						
							bbl","3027000                        						
							bbl","12715000000                        						
							bbl","22670000000                        						
							Cu.M","31654000000                        						
							Cu.M","363985000000                        						
							Cu.M","15644000                        						
							Cu.M","32787000                        						
							mt","6596000000                        						
							Cu.M","8515770                        						
							km","7491                        						
							km","16145                        						
							km","50000                        						
							km",Kinshasa,"15,628,000",11
Bangladesh,168697184,82661620,66129296,3205246,163000,0,6800000,214,42,0,17,86,4,0,65,0,320,11584,56,546,110,118,75280,0,0,2,0,7,6,61,5,$                        							4374000000,$                        							51965000000,$                        							1413000000000,$                        							21860000000,17,74914000,2,"2460                        						
							km","369105                        						
							km","13000                        						
							bbl","160000                        						
							bbl","28000000                        						
							bbl","24620000000                        						
							Cu.M","30384000000                        						
							Cu.M","126293000000                        						
							Cu.M","754000                        						
							Cu.M","7514000                        						
							mt","3260000000                        						
							Cu.M","148460                        						
							km","580                        						
							km","4413                        						
							km","8370                        						
							km",Buenos Aires,"15,370,000",35
Russia,140820810,69002197,46189226,1267387,1320000,2000000,250000,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1260447,1,0,63,10,12,83,123,47,$                        							126000000000,$                        							317650500000,$                        							5816000000000,$                        							597217000000,904,72408000,67,"85494                        						
							km","1283387                        						
							km","10727000                        						
							bbl","3684000                        						
							bbl","80000000000                        						
							bbl","617830000000                        						
							Cu.M","472239000000                        						
							Cu.M","47805000000000                        						
							Cu.M","508190000                        						
							Cu.M","310958000                        						
							mt","162166000000                        						
							Cu.M","17098242                        						
							km","37653                        						
							km","22407                        						
							km","102000                        						
							km",Manila,"14,667,000",2
Mexico,130739927,61447766,49811912,2222579,412000,98655,120000,433,3,33,41,176,25,0,178,0,0,19658,20,70,0,167,,0,0,0,5,1,3,140,0,$                        							7600000000,$                        							371359000000,$                        							2873000000000,$                        							214317000000,1485,60042000,35,"23389                        						
							km","704884                        						
							km","2101000                        						
							bbl","1737000                        						
							bbl","5786000000                        						
							bbl","31422000000                        						
							Cu.M","90566000000                        						
							Cu.M","180322000000                        						
							Cu.M","7453000                        						
							Cu.M","18423000                        						
							mt","1211000000                        						
							Cu.M","1964375                        						
							km","9330                        						
							km","4389                        						
							km","2900                        						
							km",Moscow,"11,920,000",32
Japan,123201945,52976836,42874277,1108818,247150,56000,25000,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,769882,0,4,24,42,6,0,6,22,$                        							57000000000,$                        							4679698100000,$                        							5761000000000,$                        							1295000000000,279,69349000,163,"27311                        						
							km","1218772                        						
							km","8000                        						
							bbl","3289000                        						
							bbl","44115000                        						
							bbl","2220000000                        						
							Cu.M","92843000000                        						
							Cu.M","20898000000                        						
							Cu.M","29141000                        						
							Cu.M","216332000                        						
							mt","350000000                        						
							Cu.M","377915                        						
							km","29751                        						
							km","0                        						
							km","1770                        						
							km",Bogota,"11,344,000",8
