Country,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,roadway_coverage_km,railway_coverage_km,total_serviceable_airports,waterway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,NATO,alliance,region_africa,region_asia,region_europe,region_middle_east,region_north_america,region_south_america,capital_city
Afghanistan,40121552.0,15647405.0,8826741.0,842553.0,0.0,0.0,80000.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,5202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290000000.0,54772700000.0,1142500000.0,8852092000.0,8921000.0,0.0,0.0,34903.0,0.0,67.0,1200.0,0.0,2700.0,0.0,80200000.0,80200000.0,49554000000.0,4885000.0,1545000.0,66000000.0,652230.0,0.0,5987.0,,,,2.6442,,,,,Kabul
Albania,3107100.0,1522479.0,1292554.0,62142.0,6600.0,2000.0,500.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,46.0,1796.0,0.0,50.0,135.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,558862420.0,49592000000.0,7312000000.0,6455000000.0,1388000.0,67.0,3.0,3945.0,424.0,3.0,41.0,1400.0,2600.0,150000000.0,50623000.0,50623000.0,5692000000.0,379000.0,389000.0,522000000.0,28748.0,362.0,691.0,1.6815,,,,1.6815,,,,Tirana
Algeria,47022473.0,22570787.0,19185169.0,752360.0,325000.0,135000.0,150000.0,608.0,102.0,42.0,63.0,87.0,10.0,5.0,299.0,74.0,1485.0,26000.0,224.0,483.0,266.0,110.0,0.0,0.0,6.0,0.0,8.0,8.0,75.0,2.0,25000000000.0,699947000000.0,3335624000.0,81217000000.0,13425000.0,119.0,17.0,104000.0,4020.0,85.0,0.0,1443000.0,428000.0,12200000000.0,100726000000.0,47963000000.0,4504000000000.0,0.0,167000.0,233000000.0,2381740.0,998.0,6734.0,,,0.3589,,,,,,Alger
Angola,37202061.0,7440412.0,3720206.0,372021.0,107000.0,0.0,10000.0,298.0,71.0,12.0,31.0,66.0,2.0,0.0,116.0,15.0,309.0,5500.0,25.0,575.0,113.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1101360000.0,265868000000.0,45774500000.0,13942000000.0,15223000.0,64.0,21.0,26000.0,2761.0,106.0,1300.0,1175000.0,127000.0,7783000000.0,5514000000.0,1397000000.0,343002000000.0,0.0,0.0,0.0,1246700.0,1600.0,5369.0,,,1.0961,,,,,,Luanda
Argentina,46994384.0,20677529.0,17575900.0,704916.0,108000.0,0.0,20000.0,239.0,23.0,11.0,52.0,71.0,13.0,2.0,94.0,0.0,342.0,21724.0,55.0,172.0,26.0,44.0,0.0,0.0,2.0,3.0,0.0,6.0,13.0,0.0,928897000.0,1235000000000.0,178940000000.0,23081000000.0,21906000.0,201.0,37.0,281290.0,17866.0,756.0,11000.0,807000.0,706000.0,2483000000.0,43280000000.0,46228000000.0,396464000000.0,1318000.0,3391000.0,799999000.0,2780400.0,4989.0,11968.0,,,,,,,,0.6013,Buenos Aires
Armenia,2976765.0,1666988.0,1366335.0,44651.0,57500.0,210000.0,5000.0,71.0,4.0,15.0,3.0,13.0,0.0,0.0,36.0,20.0,109.0,1306.0,145.0,148.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000000.0,57728000000.0,9014000000.0,3607000000.0,1356000.0,0.0,0.0,7700.0,686.0,11.0,0.0,0.0,14000.0,0.0,0.0,2861000000.0,0.0,60.0,23000.0,317000000.0,29743.0,0.0,1570.0,,,,2.0373,,,,,Yerevan
Australia,26768598.0,11242811.0,9208398.0,294455.0,57350.0,32050.0,0.0,327.0,24.0,62.0,38.0,98.0,30.0,6.0,69.0,22.0,59.0,15648.0,0.0,48.0,0.0,44.0,0.0,2.0,6.0,3.0,7.0,0.0,10.0,3.0,55700000000.0,1584000000000.0,3427504300000.0,61703000000.0,14501000.0,604.0,66.0,873573.0,36064.0,2180.0,2000.0,386000.0,1123000.0,2446000000.0,153783000000.0,50188000000.0,3228000000000.0,465865000.0,107624000.0,150227000000.0,7741220.0,25760.0,0.0,,,,,,,,,Canberra
Austria,8967982.0,4035592.0,3632033.0,98648.0,16000.0,125600.0,0.0,85.0,15.0,0.0,11.0,18.0,0.0,0.0,41.0,0.0,56.0,7322.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5475750000.0,590354000000.0,630000000000.0,31212000000.0,4825000.0,1.0,0.0,137039.0,6123.0,61.0,358.0,18000.0,245000.0,35200000.0,618209000.0,8136000000.0,5040000000.0,1271000.0,5026000.0,0.0,83871.0,0.0,2524.0,,1.3704,,,1.3704,,,,Wien
Azerbaijan,10650239.0,5218617.0,3908638.0,159754.0,126400.0,300000.0,15000.0,154.0,12.0,18.0,3.0,35.0,0.0,0.0,86.0,16.0,497.0,7642.0,198.0,650.0,268.0,38.0,0.0,0.0,4.0,0.0,0.0,0.0,17.0,4.0,5000000000.0,215896000000.0,16159500000.0,13749000000.0,5473000.0,312.0,0.0,24981.0,2944.0,32.0,0.0,618000.0,105000.0,7000000000.0,34175000000.0,11759000000.0,1699000000000.0,0.0,60000.0,0.0,86600.0,713.0,2468.0,,,,1.2531,,,,,Baku
Bahrain,1566888.0,846120.0,720768.0,17236.0,18400.0,110000.0,1500.0,132.0,24.0,0.0,3.0,40.0,0.0,0.0,80.0,34.0,150.0,2764.0,38.0,26.0,17.0,64.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,0.0,1597200000.0,85491000000.0,49500000000.0,5118000000.0,855000.0,184.0,4.0,4122.0,0.0,3.0,0.0,189000.0,72000.0,186500000.0,18005000000.0,17924000000.0,81382000000.0,0.0,0.0,0.0,760.0,161.0,0.0,,,,1.7448,,1.7448,,,al-Manama
