Country,capital_city,region,continent,alliance,NATO_Status,year,power_index_rank,power_index_score,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,submarines,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,fit_for_service,population_reaching_military_age_annually,paramilitary,trainer_aircraft,special_mission_aircraft,tanker_aircraft,attack_helicopters,self_propelled_artillery,towed_artillery,rocket_projectors,helicopter_carriers,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,roadway_coverage_km,railway_coverage_km,total_serviceable_airports,waterway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,border_coverage_km,kpi_budget_gdp_percent,kpi_active_per_1k_capita,kpi_equipment_per_1m_capita,score_active_personnel,score_reserve_personnel,score_total_personnel,score_total_aircraft,score_fighter_aircraft,score_attack_aircraft,score_transport_aircraft,score_helicopters,score_tanks,score_armored_vehicles,score_artillery_units,score_naval_assets,score_aircraft_carriers,score_submarines,score_defense_budget_usd,score_gdp_usd,score_population,score_land_area_sq_km,score_coastline_km,score_kpi_budget_gdp_percent,score_kpi_active_per_1k_capita,score_kpi_equipment_per_1m_capita,score_power_index
Afghanistan,Kabul,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,0,0,15647405,9,0,0,3,6,0,5202,0,0,0,0,290000000.0,54772700000.0,40121552,652230.0,0.0,8826741.0,842553.0,80000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142500000.0,8852092000.0,8921000.0,0.0,0.0,34903.0,0.0,67.0,1200.0,0.0,2700.0,0.0,80200000.0,80200000.0,49554000000.0,4885000.0,1545000.0,66000000.0,5987.0,0.5294608445448189,0.0,0.2243183414240805,0.0,0.0,0.02037024812055628,0.0006900253009277008,0.0,0.0,0.003267973856209151,0.0010268697586856067,0.0,0.013060153771955118,0.0,0.0,0.0,0.0,0.0003083847121630953,0.0015859364417931438,0.028103555240282827,0.03810557821738272,0.0,0.02801719291894591,0.0,0.0010158431137494066,0.0
Albania,Tirana,Europe,Europe,NATO,NATO,2025,48,3.5,6600,2000,1522479,19,0,0,0,19,46,1796,185,19,0,0,558862420.0,49592000000.0,3107100,28748.0,362.0,1292554.0,62142.0,500.0,0.0,0.0,0.0,0.0,0.0,50.0,135.0,0.0,0.0,0.0,0.0,19.0,0.0,7312000000.0,6455000000.0,1388000.0,67.0,3.0,3945.0,424.0,3.0,41.0,1400.0,2600.0,150000000.0,50623000.0,50623000.0,5692000000.0,379000.0,389000.0,522000000.0,691.0,1.126920511372802,2.1241672298928265,27.03485565318142,0.0032432432432432435,0.00039999999999999996,0.0018830842386216619,0.001456720079736257,0.0,0.0,0.0,0.0032517542358377546,0.006764705882352941,0.004368695439153412,0.011092457129152177,0.02519893899204244,0.0,0.0,0.000608794349855752,0.0014200040016984316,0.001939000682327115,0.001639360274584804,0.0017913697545526525,0.06486754241845999,0.04232027614173989,0.12242945348179807,0.0
Algeria,Alger,Africa,Africa,Neutral/Other,Non-NATO,2025,25,0.3911,325000,135000,22570787,608,102,42,63,299,1485,26000,973,110,0,6,25000000000.0,699947000000.0,47022473,2381740.0,998.0,19185169.0,752360.0,150000.0,87.0,10.0,5.0,74.0,224.0,483.0,266.0,0.0,0.0,8.0,8.0,75.0,2.0,3335624000.0,81217000000.0,13425000.0,119.0,17.0,104000.0,4020.0,85.0,0.0,1443000.0,428000.0,12200000000.0,100726000000.0,47963000000.0,4504000000000.0,0.0,167000.0,233000000.0,6734.0,3.5716990000671482,6.91158884816628,46.84993917695481,0.15970515970515972,0.027,0.029431796312117516,0.046615042551560223,0.05698324022346368,0.04724409448818898,0.06862745098039216,0.0511723429744994,0.21838235294117644,0.06613265829503494,0.058340328576567936,0.14588859416445624,0.0,0.08571428571428572,0.0279177551380692,0.02225019916408895,0.03298163702316705,0.139261166661393,0.004938638163103722,0.21565754006899415,0.13770118685397706,0.21216360548294907,0.9067020531964537
Angola,Luanda,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,107000,0,7440412,298,71,12,31,116,309,5500,713,31,0,0,1101360000.0,265868000000.0,37202061,1246700.0,1600.0,3720206.0,372021.0,10000.0,66.0,2.0,0.0,15.0,25.0,575.0,113.0,0.0,0.0,0.0,0.0,29.0,0.0,45774500000.0,13942000000.0,15223000.0,64.0,21.0,26000.0,2761.0,106.0,1300.0,1175000.0,127000.0,7783000000.0,5514000000.0,1397000000.0,343002000000.0,0.0,0.0,0.0,5369.0,0.41425068078896293,2.87618473610911,17.1495874919403,0.05257985257985258,0.0,0.00962866798279908,0.02284750440849498,0.03966480446927374,0.013498312710911137,0.03376906318082789,0.019852815334588395,0.04544117647058823,0.013820592580873177,0.04275092936802974,0.04111405835543766,0.0,0.0,0.0012149463790495048,0.00834709964783196,0.02603984289487351,0.07287494217729668,0.007917656373713382,0.02091121566890019,0.057302895249417896,0.0776632452198594,0.0
Argentina,Buenos Aires,South America,South America,Neutral/Other,Non-NATO,2025,27,0.4509,108000,0,20677529,239,23,11,52,94,342,21724,253,44,0,2,928897000.0,1235000000000.0,46994384,2780400.0,4989.0,17575900.0,704916.0,20000.0,71.0,13.0,2.0,0.0,55.0,172.0,26.0,0.0,3.0,0.0,6.0,13.0,0.0,178940000000.0,23081000000.0,21906000.0,201.0,37.0,281290.0,17866.0,756.0,11000.0,807000.0,706000.0,2483000000.0,43280000000.0,46228000000.0,396464000000.0,1318000.0,3391000.0,799999000.0,11968.0,0.07521433198380567,2.2981469445370326,13.299461484589308,0.05307125307125307,0.0,0.02695383848658386,0.018324005213524498,0.012849162011173183,0.012373453318335208,0.056644880174291944,0.016087626219407836,0.05029411764705882,0.055221126929485886,0.015169684614462166,0.05835543766578249,0.0,0.02857142857142857,0.0010222472753763747,0.039387391024261524,0.03296178163876264,0.1625779944849321,0.024688242280285037,0.0,0.04578651432825753,0.06022764915221148,0.8892615492300514
Armenia,Yerevan,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,57500,210000,1666988,71,4,15,3,36,109,1306,393,0,0,0,1700000000.0,57728000000.0,2976765,29743.0,0.0,1366335.0,44651.0,5000.0,13.0,0.0,0.0,20.0,145.0,148.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9014000000.0,3607000000.0,1356000.0,0.0,0.0,7700.0,686.0,11.0,0.0,0.0,14000.0,0.0,0.0,2861000000.0,0.0,60.0,23000.0,317000000.0,1570.0,2.9448447893569845,19.31627118701006,60.46832719411845,0.028255528255528257,0.041999999999999996,0.0020722223314806605,0.00544353292954075,0.0022346368715083797,0.01687289088863892,0.003267973856209151,0.00616121855211364,0.016029411764705882,0.0031183094781807646,0.02356397649598273,0.0,0.0,0.0,0.001883828350387604,0.001680591631287209,0.0018468702566676678,0.0016975558389364354,0.0,0.17699418246938847,0.38484254872166745,0.273835538325254,0.0
Australia,Canberra,Unknown,Unknown,Neutral/Other,Non-NATO,2025,15,0.2567,57350,32050,11242811,327,24,62,38,69,59,15648,48,44,0,6,55700000000.0,1584000000000.0,26768598,7741220.0,25760.0,9208398.0,294455.0,0.0,98.0,30.0,6.0,22.0,0.0,48.0,0.0,2.0,3.0,7.0,0.0,10.0,3.0,3427504300000.0,61703000000.0,14501000.0,604.0,66.0,873573.0,36064.0,2180.0,2000.0,386000.0,1123000.0,2446000000.0,153783000000.0,50188000000.0,3228000000000.0,465865000.0,107624000.0,150227000000.0,0.0,3.516414141414141,2.1424357002185923,16.063598101028678,0.028181818181818183,0.00641,0.014605371822345165,0.025070919267039794,0.013407821229050279,0.06974128233970754,0.04139433551198257,0.011809002224884476,0.008676470588235294,0.03971634101342506,0.002878042930807051,0.05835543766578249,0.0,0.08571428571428572,0.06221996768664538,0.050565498537349436,0.01866469894050908,0.4527264563410735,0.12747426761678543,0.21224765907366144,0.042684243111003696,0.07274525751827926,0.945899440037331
Austria,Wien,Europe,Europe,Neutral/Other,Non-NATO,2025,48,3.5,16000,125600,4035592,85,15,0,11,41,56,7322,30,0,0,0,5475750000.0,590354000000.0,8967982,83871.0,0.0,3632033.0,98648.0,0.0,18.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000000000.0,31212000000.0,4825000.0,1.0,0.0,137039.0,6123.0,61.0,358.0,18000.0,245000.0,35200000.0,618209000.0,8136000000.0,5040000000.0,1271000.0,5026000.0,0.0,2524.0,0.9275366983199911,1.7841249012319607,15.722600692106651,0.007862407862407862,0.02512,0.0051723285068621,0.0065169056198727295,0.008379888268156424,0.0,0.01198257080610022,0.007016943351018312,0.008235294117647058,0.01846998690922453,0.0017987768317544069,0.0,0.0,0.0,0.006102609426292703,0.018740049202249854,0.006081905914227903,0.004863394539665189,0.0,0.05256987011775008,0.03554553399983509,0.07120102414235147,0.0
Azerbaijan,Baku,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,126400,300000,5218617,154,12,18,3,86,497,7642,1116,38,0,4,5000000000.0,215896000000.0,10650239,86600.0,713.0,3908638.0,159754.0,15000.0,35.0,0.0,0.0,16.0,198.0,650.0,268.0,0.0,0.0,0.0,0.0,17.0,4.0,16159500000.0,13749000000.0,5473000.0,312.0,0.0,24981.0,2944.0,32.0,0.0,618000.0,105000.0,7000000000.0,34175000000.0,11759000000.0,1699000000000.0,0.0,60000.0,0.0,2468.0,2.3159298921703044,11.868278261173295,64.69338387617405,0.062113022113022116,0.06,0.006720710215299065,0.011807099593651768,0.0067039106145251395,0.020247469066366708,0.003267973856209151,0.014718466541160363,0.07308823529411763,0.019286565495982178,0.06691449814126393,0.05039787798408488,0.0,0.05714285714285714,0.0055710368653811345,0.006746548390972279,0.007271049685882361,0.005023008303600468,0.0035283056215360256,0.138203725048515,0.23645445908004337,0.29296903721089773,0.0
Bahrain,al-Manama,Middle East,Asia,Neutral/Other,Non-NATO,2025,48,3.5,18400,110000,846120,132,24,0,3,80,150,2764,81,64,0,0,1597200000.0,85491000000.0,1566888,760.0,161.0,720768.0,17236.0,1500.0,40.0,0.0,0.0,34.0,38.0,26.0,17.0,0.0,0.0,2.0,2.0,50.0,0.0,49500000000.0,5118000000.0,855000.0,184.0,4.0,4122.0,0.0,3.0,0.0,189000.0,72000.0,186500000.0,18005000000.0,17924000000.0,81382000000.0,0.0,0.0,0.0,0.0,1.8682668351054497,11.743021836914956,220.8198671506834,0.009041769041769043,0.022,0.000997843517642209,0.010120371080272944,0.013407821229050279,0.0,0.003267973856209151,0.013691596782474755,0.022058823529411763,0.006838845664095295,0.004856697445736899,0.08488063660477453,0.0,0.0,0.0017689662184659873,0.0025698116854014205,0.0008502648311299098,2.3980081793134614e-06,0.000796714172604909,0.11059258905594865,0.23395894630282793,1.0,0.0
